agency,q035,q001,q002,q003,q004,q005,q013,q036,q037,q038,q025,q068,q014,q024,q027,q067,q039,q066,q044,q045,q046,q051,q052,q064,totals,year
1,408.0,4902.0,971.0,139.0,57.0,7.0,6668.0,988.0,542.0,98.0,4152.0,3231.0,306.0,160.0,33051.0,83.0,3.0,5.0,93.0,98.0,119.0,40.0,,,56121.0,2014
2,158.0,1813.0,274.0,72.0,7.0,1.0,3245.0,479.0,365.0,41.0,2123.0,1385.0,123.0,98.0,19819.0,8.0,2.0,7.0,57.0,,16.0,1.0,,,30094.0,2014
3,446.0,4930.0,704.0,114.0,48.0,4.0,12200.0,2384.0,1459.0,203.0,3980.0,5850.0,338.0,533.0,80972.0,25.0,36.0,16.0,664.0,5.0,136.0,,1.0,21.0,115069.0,2014
5,156.0,1901.0,214.0,13.0,,2.0,1303.0,1454.0,502.0,84.0,1253.0,688.0,55.0,82.0,7951.0,115.0,34.0,28.0,191.0,93.0,58.0,,,2.0,16179.0,2014
7,1579.0,10189.0,673.0,3107.0,477.0,52.0,2294.0,15224.0,330.0,11.0,23214.0,1392.0,395.0,1519.0,298196.0,8.0,114.0,49.0,8953.0,8.0,52.0,,,17.0,367853.0,2014
9,199.0,58950.0,9892.0,1178.0,185.0,51.0,16326.0,5118.0,2646.0,546.0,8302.0,3879.0,2462.0,2876.0,154237.0,2.0,24.0,1.0,76.0,5.0,29.0,79.0,,6.0,267069.0,2014
total,2946.0,82685.0,12728.0,4623.0,774.0,117.0,42036.0,25647.0,5844.0,983.0,43024.0,16425.0,3679.0,5268.0,594226.0,241.0,213.0,106.0,10034.0,209.0,410.0,120.0,1.0,46.0,852385.0,2014
