,bin,bin_top,count
0,0 to 20,20,334
0,20 to 50,50,1399
0,50 to 80,80,2314
0,80 to 110,110,2525
0,110 to 140,140,1889
0,140 to 170,170,1318
0,170 to 200,200,571
0,200 to 230,230,245
0,230 to 260,260,132
0,260 to 290,290,64
0,290 to 320,320,43
0,320 to 350,350,21
0,350 to 380,380,9
0,380 to 410,410,9
0,410 to 440,440,7
0,440 to 470,470,6
0,470 to 500,500,3
0,500 to 530,530,6
0,530 to 560,560,1
0,561 and up,9999,5
