,bin,bin_top,count
0,0 to 20,20,702
0,20 to 50,50,1220
0,50 to 80,80,1169
0,80 to 110,110,1034
0,110 to 140,140,1318
0,140 to 170,170,1545
0,170 to 200,200,1950
0,200 to 230,230,1847
0,230 to 260,260,1550
0,260 to 290,290,1271
0,290 to 320,320,964
0,320 to 350,350,859
0,350 to 380,380,714
0,380 to 410,410,572
0,410 to 440,440,407
0,440 to 470,470,287
0,470 to 500,500,311
0,500 to 530,530,263
0,530 to 560,560,188
0,561 and up,9999,985
