,bin,bin_top,count
0,0 to 20,20,496
0,20 to 50,50,974
0,50 to 80,80,1166
0,80 to 110,110,1287
0,110 to 140,140,920
0,140 to 170,170,305
0,170 to 200,200,150
0,200 to 230,230,97
0,230 to 260,260,28
0,260 to 290,290,16
0,290 to 320,320,13
0,320 to 350,350,6
0,350 to 380,380,8
0,380 to 410,410,5
0,410 to 440,440,6
0,440 to 470,470,18
0,470 to 500,500,23
0,500 to 530,530,10
0,530 to 560,560,6
0,561 and up,9999,12
