agency,q006,q007,q008,q009,q010,q011,q015_count,q015_value,q023,q031,q047,q048,q053,q055,q056,q061,q063,q065,q070,q071,q073,q074,q075,q076,q081_numer,q081_denom,q081,q082,q083,year
1,38,75,21,4,6,102,177,177,306,13,1,0,0,8,1,353,0,1,2,0,1,15,3,1,28,28,28,23,153,2007
2,25,44,23,8,45,74,114,114,194,2,0,0,0,5,0,235,0,2,2,1,1,7,4,2,21,21,21,20,106,2007
3,157,101,61,20,28,176,646,646,759,1,8,3,0,30,0,1039,1,1,0,0,0,5,1,5,93,93,93,86,484,2007
4,21,45,8,5,16,88,83,83,114,9,0,0,0,2,2,89,0,0,3,0,2,7,3,3,3,3,3,2,47,2007
5,62,76,59,26,13,161,13,13,337,0,54,24,39,8,2,118,0,0,1,0,0,0,1,0,57,57,57,10,74,2007
7,103,138,222,46,94,394,8,8,143,7,69,11,0,9,14,397,0,1,3,1,4,47,20,6,32,32,32,5,35,2007
total,406,479,394,109,202,995,1041,1041,1853,32,132,38,39,62,19,2231,1,5,11,2,8,81,32,17,234,234,234,146,899,2007
