agency,q006,q007,q008,q009,q010,q011,q015_count,q015_value,q016,q023,q031,q047,q048,q053,q055,q056,q061,q062,q065,q070,q071,q072,q073,q074,q075,q076,q081_numer,q081_denom,q081,q082,q083,year
1,53,95,19,6,15,104,177,177,2,305,12,3,1,0,15,1,326,0,2,1,1,0,1,15,10,5,25,25,25,21,134,2006
2,30,46,51,5,43,74,132,132,0,185,4,0,0,0,7,0,239,0,3,1,0,0,1,8,7,6,19,19,19,15,99,2006
3,178,84,51,10,21,201,610,610,0,716,4,8,2,0,24,0,914,1,0,0,0,0,0,2,2,4,88,88,88,76,401,2006
4,24,29,4,4,16,124,95,95,0,110,8,1,0,0,2,0,95,0,0,0,0,0,2,8,10,4,6,6,6,2,38,2006
5,67,76,39,16,15,170,9,9,0,340,0,44,17,45,9,1,130,0,0,0,0,0,0,0,1,1,95,95,95,14,87,2006
7,140,176,228,43,81,457,8,8,0,181,4,88,16,0,10,7,620,1,2,2,2,1,5,35,27,4,54,54,54,7,44,2006
total,492,506,392,84,191,1130,1031,1031,2,1837,32,144,36,45,67,9,2324,2,7,4,3,1,9,68,57,24,287,287,287,135,803,2006
