agency,q006,q007,q008,q009,q010,q011,q015_count,q015_value,q016,q023,q031,q047,q048,q053,q054,q055,q056,q061,q070,q071,q072,q073,q074,q075,q076,q081_numer,q081_denom,q081,q082,q083,totals,year
1,2523.0271349023064,705.3436456056425,1166.6191638219145,139.95402838574182,288.13345047948025,152752.14990515192,4319.1085212477265,8573.459864751705,50.0,21359.357055615386,476.0,37.9910213243546,5.33333333333333,,,110.04390271445985,,549.2006817167872,,,,17.1661548236789,1455.5286329187975,,23.2531512738205,497.0,727.0,1317.1383610243925,1202.5579320975319,4540.7425799262755,202836.10852111524,2011
2,870.6876558225074,349.147236585949,568.8753982447979,28.571428571428598,38.36979256677998,542.7238555019958,1751.2632926719778,3858.9578251922044,40.0,9847.597645090535,,,,,,13.19966583124478,,183.45072876343036,,,,,446.6818724204769,51.2197511511708,,471.0,710.0,1369.5716930092995,1354.4985771487818,3726.310814656554,26222.12723322913,2011
3,5581.140664346541,2583.9497016931114,3329.396952960472,439.5604621002578,348.1669764963275,9149.926786466824,10758.852342784121,22754.6149413685,,46465.98821754739,408.0,37.8164556962025,,,,350.7377999938411,,1403.0573713894623,,,,,1471.4427489943207,76.3556212004835,-132.147957268171,2797.0,4280.0,9276.617817092436,9014.313871435023,22959.447335871933,153354.23811016907,2011
5,2850.118799704785,1798.2141240729454,3183.4953913386057,1050.5814734811233,317.6859350869744,645.6257252223713,227.94450743956142,303.02443123803215,33.3333333333333,18893.861995709718,,861.8469719743802,200.59747680577573,184.53964277905783,2.48447204968944,15.707070707070711,79.7202797202797,353.68146562214844,,,,4.93601462522852,42.3487544483986,22.218179935964304,,1664.0,2617.0,2363.678513339482,724.0971281987515,2380.502736968393,40821.24442380207,2011
7,3810.2047460827825,934.7535561386729,3681.693213593447,898.9039175700127,302.2856668480574,348699.6336638818,1332.1373284378435,1396.4444541427333,,5143.977870404232,,248.03120541693852,99.70622179272792,,,64.8148148148148,174.06234288587228,229.9041010938744,28.29082675750529,81.5566525967772,126.93995208023802,0.26525198938992,9326.447460228666,128.89004418600632,95.03881138516589,12630.0,20583.0,475.55910603829057,383.99347423124254,778.3154440091954,411654.85012660635,2011
9,1457.115468125343,692.6134558078759,,26.7193444541996,264.8443255213395,,569.1494099450725,1047.8813892372405,,1802.053676632382,11223.0,,,,,41.6666666666667,,1936.2331529869273,,,,41.20654069495718,2660.77331103225,,,599.0,1163.0,51.504729148753206,,550.1523360010735,24126.91380625408,2011
total,17092.294468984266,7064.021719904197,11930.080119959237,2584.290654562764,1559.486146998959,511790.05993622495,18958.455402526302,37934.38290593042,123.3333333333333,103512.83646099962,12107.0,1185.685654411876,305.637031931837,184.53964277905783,2.48447204968944,596.1699207280981,253.782622606152,4655.52750157263,28.29082675750529,81.5566525967772,126.93995208023802,63.57396213325452,15403.22278004291,278.6835964736249,-13.855994609184634,18658.0,30080.0,14854.070219652654,12679.46098311133,34935.47124743343,859015.4822211758,2011
