agency,q006,q007,q008,q009,q010,q011,q015_count,q015_value,q016,q023,q031,q047,q048,q053,q054,q055,q056,q061,q062,q065,q070,q071,q072,q073,q074,q075,q076,q081_numer,q081_denom,q081,q082,q083,year
1,65,66,26,5,20,102,213,213,2,309,13,3,3,0,0,11,2,311,0,3,4,2,1,0,14,5,8,22,22,22,15,118,2005
2,30,42,28,8,26,106,135,135,0,170,4,1,1,0,0,6,3,223,0,4,3,0,0,1,9,2,1,14,14,14,10,80,2005
3,170,90,45,6,26,200,648,648,0,683,8,9,2,0,0,27,0,871,1,2,0,0,0,0,2,5,6,55,55,55,49,303,2005
4,17,20,6,4,18,107,97,97,0,113,10,3,1,0,0,3,0,85,0,1,0,0,0,3,14,8,5,4,4,4,4,29,2005
5,80,71,44,17,12,172,11,11,1,332,0,66,19,92,1,22,1,242,2,0,0,0,0,0,0,0,1,85,85,85,16,97,2005
7,147,148,249,39,97,441,7,7,0,167,5,100,15,0,0,16,7,524,0,6,3,1,1,4,30,28,3,34,34,34,10,47,2005
total,509,437,398,79,199,1128,1111,1111,3,1774,40,182,41,92,1,85,13,2256,3,16,10,3,2,8,69,48,24,214,214,214,104,674,2005
