agency,q006,q007,q008,q009,q010,q011,q015_count,q015_value,q023,q031,q047,q048,q053,q055,q056,q061,q070,q071,q072,q073,q074,q075,q076,q081_numer,q081_denom,q081,q082,q083,totals,year
1,2731.13406639283,487.36082110192126,453.9066934968825,291.9906411393592,137.8479279576872,15996.885556300796,4296.161438788591,9139.282388012884,18679.70097057411,941.0,15.662650602409599,,,43.52750511864499,,460.77728475468587,,,,,1747.6879666537307,39.6735365463483,103.6988392472268,1159.0,1813.0,2025.7183035795535,1906.6849408340759,5411.785806800776,67882.48733790251,2013
2,1858.2655869756027,165.5463650572577,437.6881117250552,75.7842979375815,53.52947961825389,137.10456223146372,2126.026609455151,5439.31537218296,9672.693362038988,,,,,6.10687022900763,,76.24881242040672,53.4612498342972,,,,671.2971116419942,26.5012900673669,-69.593021273613,660.0,1045.0,1278.95205451339,1150.0172360962595,3876.3791305077193,28740.324481259144,2013
3,6018.5951325801125,1551.1013632831,1885.7499861223494,450.1365570647667,293.2834576790562,-1606.5328787588712,11056.249289706928,25319.98906074799,42429.32088605012,1097.0,56.9444444444444,30.26315789473684,,252.7500507902544,,984.8613630686775,,,,,2104.2234015295267,7.793779280208099,,3461.0,5410.0,9524.197285078133,9349.280063843471,24368.19660243354,144044.40300283855,2013
5,3640.460810396267,2062.6548247444084,2339.6841345573357,1025.0434518522434,299.06935354805853,208622.75463424638,98.98387710984852,308.08890541471817,17974.3987108618,,650.467283091151,178.46400763661734,103.72269843630139,19.774669774669782,249.465025608915,428.792858369371,,,,,,-29.619740607095103,,1768.0,2522.0,1833.6933836561507,495.9698608125421,3013.438647842383,247605.307397352,2013
7,2461.9507441167098,781.1725584616795,3166.698070602784,1069.984321055805,303.6175990864973,2063.5108258557916,1547.2458986580177,1552.0483671434527,4054.7392012178243,,190.6922549893152,14.159077109896781,,81.7923511711126,178.202359314302,258.86607718254635,196.8550018605876,378.831859642303,32.6054716982032,3.14893617021277,10543.57121056482,47.53437239168961,29.553847014904,5221.0,7941.0,309.5180365309129,168.1465187711367,558.8250965028242,43155.27005711333,2013
9,,59.874116409608405,,70.23236157251209,14.74057578727058,2877.3397242036326,700.9057494049416,1430.018215620393,509.3624664420481,19142.0,,,,42.920353982300895,,68.5840707964602,50.180585397276914,50.3658192501191,,19.28870480148881,2603.5782878128703,68.2292872448601,3.7363424897192843,1084.0,1855.0,110.4583718304075,51.4705882352941,367.37936702589167,31179.6649883071,2013
total,16710.406340461523,5107.710049057976,8283.726996504407,2983.171630622268,1102.0883936768234,228091.0624240792,19825.572863123478,43188.742309122405,93320.2155971849,21180.0,913.7666331273201,222.88624264125096,103.72269843630139,446.8718010659903,427.667384923217,2278.1304665921475,300.49683709216174,429.1976788924221,32.6054716982032,22.43764097170158,17670.35797820294,160.11252492337792,67.39600747823708,13353.0,20586.0,15082.53743518855,13121.569208592779,37596.00465111314,562607.4572647727,2013
