agency,q006,q007,q008,q009,q010,q011,q015_count,q015_value,q016,q023,q031,q047,q048,q053,q055,q056,q061,q063,q065,q070,q071,q073,q074,q075,q076,q081_numer,q081_denom,q081,q082,q083,totals,year
1,3319.760712291705,1663.6430043127193,935.5439405983007,141.1693527492946,209.24285665560512,-32176.84045347996,2526.9716494911677,4946.503492341988,,18390.472232226297,3084.0,30.1453047061375,13.18226600985222,,188.7588068928888,168.96569738081928,6705.6218361862875,,663.0,169.0518262532915,,0.453251170027613,2679.5825025165846,148.4870662360083,-13.797925758990402,1204.0,1993.0,1964.44257449558,1702.8587918768922,4372.416162989622,25030.634948142117,2009
2,2045.8184407033257,758.8247541674119,594.0141623376048,102.675761011112,244.3947680085078,-22575.306188827035,1394.7215277097698,3252.6553762235917,25.0,10351.207678196226,365.0,,,,33.83582105686676,,4810.102314645119,,,,,,1466.2093366271324,168.67665875126562,56.9654077291489,671.0,1187.0,1026.3063795321098,904.408951626059,3776.806242220092,10660.317391718308,2009
3,9080.550693636877,2696.8354537288783,3017.2699287287037,633.9175459233496,457.6166111493309,-77176.72485467039,9659.382144050418,20431.157460593513,25.0,46402.85491655435,516.0,113.8596491228071,15.90757069017942,,862.9289329028118,76.28458498023721,20307.815113098713,1.0337401292175201,,,,7.11009174311927,3078.2906526061593,146.487229106104,-28.4853066201322,6147.0,8580.0,8255.183761370154,7848.3477650730165,21979.880158292457,93135.50384218988,2009
4,392.41929688887626,743.3651271173953,325.1987665055615,197.026310994692,145.74120989374273,-25022.17460629492,1536.3994627493637,2498.512215055331,,5868.7313332369795,2827.0,11.764705882352901,19.89872872225813,,18.56787892477974,,889.7530439905343,,,223.2288886478379,-87.61142282281601,17.08532248010853,2470.0714511494853,143.7250167460123,-15.149309486150706,432.0,631.0,422.4412605057422,353.2892137221165,1151.0840007789416,-3806.632104611774,2009
5,4427.220071055409,2092.1578997581023,3728.220772427859,1134.3087889021183,345.52522124148334,-65264.430519777205,155.44825993866232,287.69784449929716,,17011.770496041547,,813.9619641025813,270.5610556268411,186.39080117382025,83.44049497622018,171.4363290795547,1408.4122322798523,,,65.0593058551698,,,194.1666903759342,140.1152664274079,45.96131145954129,1518.0,2266.0,2632.4240233157925,380.1550938247805,1964.3593190467284,-23941.637278368507,2009
7,7206.157072279955,1463.0068799686785,6981.596050214204,980.0144346663418,471.39430614226154,-32658.646367861318,568.9030957138433,618.3263164873244,,6434.400811260311,,805.9936123741516,142.52778375918928,,205.07502204133306,577.2861566884802,997.9271997613951,,,40.7024991823973,157.2330735041335,6.519222796121593,15754.491356736258,-51.34337491048821,-78.81138566881421,25197.0,40855.0,596.628422748582,123.4254244258308,999.6194636217167,78394.42707593189,2009
total,26471.92628685615,9417.833119053184,15581.843620812233,3189.1121942469085,1873.9149730909312,-254874.12299091084,15841.826139653225,32034.852705201047,50.0,104459.4374675157,6792.0,1775.7252361880303,462.0774048083201,186.39080117382025,1392.6069567949003,993.9727681290914,35119.63173996191,1.0337401292175201,663.0,498.04251993869644,69.62165068131749,31.167888189377006,25642.811990011553,696.1478623563099,-33.317208345397326,35169.0,55512.0,14897.426421967959,11312.485240548694,34244.16534694956,179472.6138750019,2009
