agency,arid,q006,q007,q008,q009,q010,q011,q015_count,q015_value,q016,q023,q031,q047,q048,q053,q055,q056,q061,q070,q071,q072,q073,q074,q075,q076,q081_numer,q081_denom,q081,q082,q083
3,30000011772,99.009900990099,,,,,,,,,81.8181818181818,,,,,,,,,,,,,,,,,,,
3,30000011881,96.969696969697,,,,,,,,,71.4285714285714,,,,,,,,,,,,,,,,,,,
3,30000012386,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000014230,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000014251,100.0,,,,,58.1538461538462,,,,,,,,,,,,,,,,,,,,,,,
3,30000014778,98.876404494382,,,,,,8.06451612903226,54.3744354813592,,,,,,,,,,,,,,,,,,,,,34.6774193548387
3,30000014991,96.0,,,,,,,,,72.887323943662,,,,,,,,,,,,,,,,,,,
3,30000015752,95.3781512605042,,,,,76.219512195122,,,,77.6239907727797,,,,,,,,,,,,,,,,,,,
3,30000016075,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.6764705882353
3,30000016288,100.0,,,,,,0.793650793650794,10.3073059906732,,,,,,,,,,,,,,,,,,,,,
3,30000016825,98.3050847457627,,,,,,,,,45.1612903225806,,,,,,,,,,,,,,,,,,,32.258064516129
3,30000018171,95.2380952380952,,,,,,2.85714285714286,10.4665526415811,,,,,,,,,,,,,,,,,,,,,
3,30000019716,98.1132075471698,,,,,,,,,42.7821522309711,,,,,,,,,,,,,,,,,,,
3,30000020161,96.9194312796209,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000022034,95.2380952380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000025679,100.0,,,,,,19.4444444444444,68.8175281406468,,,,,,,,,,,,,,,,,25.0,36.0,69.4444444444444,69.4444444444444,69.4444444444444
3,30000026283,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0980392156863
3,30000027205,95.6521739130435,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000027362,96.8152866242038,,,,,90.2200488997555,,,,,,,,,,,,,,,,,,,,,,,
3,30000027686,95.2941176470588,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000028866,95.5555555555556,,,,,,58.695652173913,89.2667899722562,,,,,,,,,,,,,,,,,,,,,
3,30000030744,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000033405,95.8333333333333,,,,,,,,,36.2962962962963,,,,,,,,,,,,,,,,,,,28.8888888888889
3,30000033963,100.0,,,,,,5.15463917525773,60.9892153216809,,,,,,,,,,,,,,,,,,,,,
3,30000034409,96.9072164948454,,,,,,,,,81.6239316239316,,,,,5.19480519480519,,3.03030303030303,,,,,,,,,,,,
3,30000034459,96.9465648854962,,,,,-56.5656565656566,,,,,,,,,,,,,,,,,,,,,,,
3,30000034566,96.1904761904762,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,
3,30000035020,100.0,,,,,,,,,69.96336996337,,,,,,,,,,,,,,,,,,,
3,30000035456,99.21875,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000057026,97.8494623655914,,,,,,7.85714285714286,28.4607232746059,,51.4285714285714,,,,,,,,,,,,,,,,,,,40.0
3,30000057069,96.2962962962963,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.6315789473684
3,30000057249,100.0,,,,,,,,,,,,,,,,1.37614678899083,,,,,,,,,,,,38.7234042553192
3,30000057275,97.4358974358974,,,,,,,,,,,,,,,,,,,,,,,,40.0,67.0,59.7014925373134,59.7014925373134,59.7014925373134
3,30000057540,97.7272727272727,,,,,,,,,,,,,,,,1.91387559808612,,,,,,,,,,,,
3,30000058154,95.2380952380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0
3,30000058608,96.6666666666667,,,,,,2.4390243902439,23.2581453634085,,,,,,,,,,,,,,,,,,,,,41.4634146341463
3,30000058852,96.6666666666667,,,,,,,,,,,,,,,,,,,,,,,,28.0,34.0,82.3529411764706,82.3529411764706,82.3529411764706
3,30000058935,96.8253968253968,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000001717,95.9183673469388,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000002073,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000004584,100.0,,,,,20.7650273224044,,,,,,,,,,,,,,,,,,,,,,,
5,50000005286,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000007590,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000010848,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000013345,96.031746031746,,,,,30.7692307692308,,,,,,,,,,,,,,,,,,,,,,,
5,50000014176,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000018195,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000019541,97.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000023283,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000023605,95.5555555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000024566,95.3488372093023,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.2145328719723
5,50000024584,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000024748,98.7654320987654,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000060721,98.4126984126984,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000060931,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000061619,96.9230769230769,,,,,,,,,,,,,,,,1.08695652173913,,,,,,,,,,,,
5,50000062005,95.2380952380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000062426,99.3630573248408,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000062728,100.0,,,,,23.8383838383838,,,,,,,,,,,,,,,,,,,,,,,
5,50000064834,100.0,,,,,,34.4827586206897,36.1532776166923,,,,,,,,,,,,,,,,,,,,,
5,50000066834,97.3753280839895,,,,,49.5098039215686,,,,33.6299765807963,,,,,,,,,,,,,,,,,,,
5,50000066844,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000067465,100.0,,,,,,,,,,,,,5.06912442396313,,,1.05263157894737,,,,,,,,,,,,
5,50000067837,96.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000068317,95.8333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000068589,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000068595,98.7951807228916,,,,,68.9349112426035,,,,,,,,,,,,,,,,,,,,,,,
7,705-0490825,99.236641221374,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,711-3654971,95.3519256308101,,,,,,,,,88.4057971014493,,,,,,,,,,,,,,,,,,,
7,71191300004,96.4285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,720-2684905,98.2558139534884,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,720-5240566,100.0,,,,,-72.3327305605787,,,,,,,,,,,,,,,,,,,,,,,
7,720-5973457,99.2647058823529,,,,,67.9738562091503,,,,,,,,,,,,,,,,,,,,,,,
7,720-8279218,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,72003500009,100.0,,,,,50.5622188905547,,,,,,,,,,,,,,,,,,,,,,,35.0012447099826
