agency,arid,q006,q007,q008,q009,q010,q011,q015_count,q015_value,q016,q023,q031,q047,q048,q053,q055,q056,q061,q062,q063,q065,q070,q071,q072,q073,q074,q075,q076,q081_numer,q081_denom,q081,q082,q083
1,10000003533,100.0,,,,,,,,,51.7241379310345,,,,,,,6.89655172413793,,,,,,,,,,,,,,,20.6896551724138
1,10000004166,96.0352422907489,,,,,237.525354969574,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000004620,96.551724137931,,,,,290.532544378698,,,,70.3030303030303,,,,,,,1.94805194805195,,,,,,,,,,,,,,,
1,10000004684,98.6754966887417,,,,,555.555555555556,,,,,,,,,,,28.735632183908,,,,,,,,,,,412.0,708.0,58.1920903954802,58.1920903954802,58.1920903954802
1,10000004945,100.0,,,,,259.798994974874,2.23463687150838,27.6841135717432,,87.1508379888268,,,,,,,1.81818181818182,,,,,,,,,,,,,,,
1,10000004975,95.5,,,,,431.788079470199,,,,62.1419676214197,,,,,,,3.8659793814433,,,,,,,,,,,,,,,
1,10000005528,97.2222222222222,,,,,366.165413533835,,,,53.5483870967742,,,,,,,13.4426229508197,,,,,,,,,,,,,,,
1,10000005584,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000006243,96.969696969697,,,,,,,,,,,,,,,,62.5,,,,,,,,,,,,,,,
1,10000006417,95.6521739130435,,,,,,,,,61.7021276595745,,,,,,,6.59340659340659,,,,,,,,,,,,,,,
1,10000006826,95.4545454545455,,,,,,,,,51.6129032258064,,,,,,,,,,,,,,,,,,,,,,
1,10000006958,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000007236,100.0,,,,,,35.0,61.9280941775374,,,,,,,,,,,,,,,,,,,,,,,,35.0
1,10000007898,95.2380952380952,,,,,,,,,41.0,,,,,,,22.5806451612903,,,,,,,,,,,,,,,
1,10000008606,96.969696969697,,,,,,,,,,,,,,,,4.65116279069767,,,,,,,,,,,,,,,
1,10000008673,96.4912280701754,,,,,223.990498812352,,,,,,,,,,,6.42201834862385,,,,,,,,,,,,,,,
1,10000008783,95.5555555555556,,,,,267.149758454106,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000011875,100.0,,,,,,,,,,,,,,,,7.69230769230769,,,,,,,,,,,,,,,30.7692307692308
1,10000012308,100.0,,,,,,,,,100.0,,,,,,,16.6666666666667,,,,,,,,,,,,,,,
1,10000012739,100.0,,,,,,,,,,,,,,,,10.7692307692308,,,,,,,,,,,148.0,260.0,56.9230769230769,53.8461538461538,53.8461538461538
1,10000013202,97.6190476190476,,,,,437.704918032787,,,,,,,,,,,32.5102880658436,,,,,,,,,,,,,,,
1,10000014399,100.0,,,,,,,,,,,,,,6.25,,25.0,,,,,,,,,,,,,,,
1,10000014991,98.5507246376812,,,,,351.700680272109,3.6144578313253,24.3302822638616,,,,,,,,,,,,,,,,,,,,496.0,664.0,74.6987951807229,74.6987951807229,74.6987951807229
1,10000015038,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000015659,100.0,,,,,,16.0,47.7309562398703,,,,,,,,,,,,,,,,,,,,,,,,
1,10000016560,96.3730569948187,,,,,116.920943134535,,,,,,,,,,,93.6339522546419,,,,,,,,,,,,,,,
1,10000016626,96.4497041420118,,,,,262.995594713656,,,,,,,,,,,3.03030303030303,,,,,,,,,,,,,,,
1,10000016629,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.125
1,10000016720,100.0,,,,,,9.09090909090909,33.704046957059,,,,,,,,,,,,,,,,,,,,40.0,44.0,90.9090909090909,90.9090909090909,90.9090909090909
1,10000016752,98.7577639751553,,,,,354.867256637168,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000016870,95.7746478873239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.1604938271605
1,10000017828,97.7611940298508,,,,,325.531914893617,2.5,12.7731437421859,,,,,,,,,11.2244897959184,,,,,,,,,,,,,,,
1,10000017926,100.0,,,,,,3.84615384615385,13.1665107577175,,,,,,,,,,,,,,,,,,,,,,,,
1,10000018303,100.0,,,,,,,,,50.0,,,,,,,7.84313725490196,,,,,,,,,,,,,,,
1,10000018427,100.0,,,,,327.350427350427,,,,,,,,,,,5.64516129032258,,,,,,,,,,,,,,,32.8
