agency,arid,q006,q007,q008,q009,q010,q011,q015_count,q015_value,q016,q023,q031,q047,q048,q053,q054,q055,q056,q061,q070,q071,q072,q073,q074,q075,q076,q081_numer,q081_denom,q081,q082,q083
3,30000016825,98.0392156862745,,,,,,,,,47.5308641975309,,,,,,,,,,,,,,,,,,,,42.5925925925926
3,30000017671,96.4285714285714,,,,,,14.2857142857143,46.4955679241394,,,,,,,,,,,,,,,,,,,,,,
3,30000017739,100.0,,,,,,,,,,,,,,,,,,,,,,,,,52.0,68.0,76.4705882352941,76.4705882352941,75.0
3,30000017892,97.8260869565217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000017937,95.4128440366973,,,,,,,,,63.6655948553055,,,,,,,,,,,,,,,,,,,,
3,30000018171,98.5507246376812,,,,,,3.84615384615385,12.2707625162617,,,,,,,,,,,,,,,,,,,,,,23.7179487179487
3,30000018915,97.3684210526316,,,,,,,,,,,,,,,,,,,,,,,,,44.0,45.0,97.7777777777778,97.7777777777778,97.7777777777778
3,30000019716,98.4615384615385,,,,,,1.86915887850467,10.91570398231,,41.1214953271028,,,,,,,,,,,,,,,,,,,,
3,30000019861,98.6111111111111,,,,,,4.54545454545455,14.5394082759094,,51.2987012987013,,,,,,,,,,,,,,,,,,,,24.025974025974
3,30000020161,96.989247311828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000034432,97.8723404255319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000035013,100.0,,,,,,6.06060606060606,10.1611523103252,,,,,,,,,,,,,,,,,,18.0,33.0,54.5454545454545,54.5454545454545,54.5454545454545
3,30000035020,97.9166666666667,,,,,,,,,75.5102040816327,,,,,,,,,,,,,,,,,,,,
3,30000035320,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000035513,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000035519,97.2631578947368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000057026,97.1428571428571,,,,,,3.6697247706422,21.2086659064994,,48.6238532110092,,,,,,,,,,,,,,,,63.0,109.0,57.7981651376147,57.7981651376147,57.7981651376147
3,30000057033,97.3684210526316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000057162,96.1165048543689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000057249,96.078431372549,,,,,,6.42201834862385,20.9973166368515,,,,,,,,,,,,,,,,,,,,,,
