agency,arid,q006,q007,q008,q009,q010,q011,q015_count,q015_value,q016,q023,q031,q047,q048,q053,q054,q055,q056,q061,q062,q065,q070,q071,q072,q073,q074,q075,q076,q081_numer,q081_denom,q081,q082,q083
1,10000000976,96.4285714285714,,,,,,11.3636363636364,13.9388178361562,,,,,,,,,,,,,,,,,,,,,,,,
1,10000002333,98.5294117647059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000003286,100.0,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,
1,10000003724,96.1240310077519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000004166,96.7611336032389,,,,,-20.2003338898164,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000004945,98.1481481481482,,,,,,,,,87.2093023255814,,,,,,,,,,,,,,,,,,,,,,
1,10000005528,95.3846153846154,,,,,,,,,58.2677165354331,,,,,,,,2.82258064516129,,,,,,,,,,,,,,
1,10000005601,100.0,,,,,,4.0,15.9713168187744,,,,,,,,,,,,,,,,,,,,,,,,
1,10000005815,96.6666666666667,,,,,,2.4390243902439,18.8043285435515,,46.3414634146341,,,,,,,,8.10810810810811,,,,,,,,,,,,,,
1,10000006417,97.2972972972973,,,,,,,,,30.3370786516854,,,,,,,,2.27272727272727,,,,,,,,,,,,,,
1,10000007115,96.3855421686747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000007353,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000007899,96.4285714285714,,,,,,,,,,,,,,,,,10.7142857142857,,,,,,,,,,,,,,
1,10000007937,95.5516014234875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000008671,97.0588235294118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000008673,95.8490566037736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000008787,100.0,,,,,,,,,,,,,,,,,2.22222222222222,,,,,,,,,,,,,,
1,10000009859,97.1223021582734,,,,,,,,,55.9602649006622,,,,,,,,1.03448275862069,,,,,,,,,,,,,,
1,10000010660,96.9512195121951,,,,,-33.5740072202166,,,,,,,,,,,,,,,,,,,,,,,,,,27.445652173913
1,10000013838,96.4601769911504,,,,,,4.739336492891,25.5740376779637,,56.8720379146919,,,,,,,,,,,,,,,,,,,,,,
1,10000014607,97.5609756097561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000015247,100.0,,,,,,3.84615384615385,48.9418698098044,,87.1794871794872,,,,,,,,1.2987012987013,,,,,,,,,,,,,,
1,10000015750,100.0,,,,,,2.0,14.9942329873126,,,,,,,,28.8888888888889,,28.8888888888889,,,,,,,,,,,,,,
1,10000016723,100.0,,,,,,3.48837209302326,10.5497601461966,,,,,,,,,,1.16279069767442,,,,,,,,,,,,,,32.5581395348837
1,10000017751,97.3913043478261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.219512195122
1,10000021121,98.3606557377049,,,,,,,,,,,,,,,,,2.66666666666667,,,,,,,,,,52.0,78.0,66.6666666666667,66.6666666666667,66.6666666666667
1,10000022042,98.3050847457627,,,,,,1.26582278481013,18.8685753708175,,,,,,,,,,1.28205128205128,,,,,,,,,,,,,,
1,10000022236,95.8333333333333,,,,,,8.65384615384615,13.052384251589,,,,,,,,,,,,,,,,,,,,,,,,39.4230769230769
1,10000022652,95.2941176470588,,,,,,4.32098765432099,15.0434447242451,,,,,,,,,,,,,,,,,,,,,,,,
1,10000022852,100.0,,,,,,,,,,,,,,,,,7.01754385964912,,,,,,,,,,,,,,21.0526315789474
1,10000022864,100.0,,,,,,9.67741935483871,14.5062795252909,,,,,,,,,,,,,,,,,,,,,,,,24.7311827956989
1,10000022952,96.2962962962963,,,,,,,,,,,,,,,,,2.7027027027027,,,,,,,,,,,,,,
1,10000023005,100.0,,,,,,98.0392156862745,99.9751066738296,,,,,,,,,,,,,,,,,,,,,,,,
1,10000023063,97.2350230414747,,,,,,,,,,,,,,,,,1.29032258064516,,,,,,,,,,,,,,
1,10000023640,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000023664,98.0392156862745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000023675,95.3488372093023,,,,,,6.18556701030928,12.5450778792296,,,,,,,,,,,,,,,,,,,,,,,,
1,10000023712,100.0,,,,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,
1,10000023752,100.0,,,,,,1.97628458498024,16.4442495821116,,,,,,,,,,1.19047619047619,,,,,,,,,,,,,,
1,10000023800,98.3606557377049,,,,,,1.01010101010101,13.1665880132138,,,,,,,,,,,,,,,,,,,,54.0,99.0,54.5454545454545,53.5353535353535,53.5353535353535
1,10000023826,99.0384615384615,,,,,,7.2463768115942,13.6281230036086,,,,,,,,,,1.45985401459854,,,,,,,,,,,,,,40.5797101449275
1,10000023919,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0526315789474
1,10000023953,95.6521739130435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000023958,95.1276102088167,,,,,,0.593220338983051,14.6296113469576,,,,,,,,,,,,,,,,,,,,,,,,
1,10000024136,97.6744186046512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000024291,97.2972972972973,,,,,,5.95238095238095,64.6875971401927,,,,,,,,,,,,,,,,,,,,,,,,28.5714285714286
1,10000024332,100.0,,,,,,,,,,,,,,,,,1.44927536231884,,,,,,,,,,,,,,46.3768115942029
1,10000024374,98.9528795811518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000024515,97.0588235294118,,,,,,8.82352941176471,38.6259040105194,,,,,,,,,,6.45161290322581,,,,,,,,,,,,,,30.8823529411765
