agency,arid,q006,q007,q008,q009,q010,q011,q015_count,q015_value,q023,q031,q047,q048,q053,q055,q056,q061,q063,q065,q070,q071,q073,q074,q075,q076,q081_numer,q081_denom,q081,q082,q083
1,10000011307,97.3684210526316,,,,,,,,33.8983050847458,,,,,,,8.7719298245614,,,,,,,,,,,,,32.2033898305085
3,30000017713,96.7741935483871,,,,,,,,31.1475409836066,,,,,,,,,,,,,,,,,,,,
7,77364800008,100.0,,32.5123398314803,,,-20.3455123113582,,,,,,,,,,2.65277119848413,,,,,,,,,,,,,
7,720-0848534,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000023560,97.7777777777778,,,,,,,,,,,,,,,4.95867768595041,,,,,,,,,,,,,23.5772357723577
3,30000057425,96.7741935483871,,,,,,,,,,,,,,,2.77777777777778,,,,,,,,,23.0,43.0,53.4883720930233,53.4883720930233,53.4883720930233
3,30000012267,95.1219512195122,,,,,,,,,,,,,,,1.15384615384615,,,,,,,,,,,,,
3,30000025804,96.875,,,,,,,,,,,,,,,4.46428571428571,,,,,,,,,,,,,23.3115468409586
5,50000019976,96.3730569948187,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,756-1704786,97.1808510638298,,,,,,,,,,,,,,,1.46457765667575,,,,,,,,,,,,,
2,20003395293,96.9230769230769,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0769230769231
3,399-0390925,100.0,,,,,,4.1958041958042,13.6748729193661,,,,,,,,2.11267605633803,,,,,,,,,,,,,20.2797202797203
4,499-0016115,98.0769230769231,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.961038961039
3,30000057557,95.9459459459459,,,,,,8.21256038647343,19.2132155967854,,,,,,,,,,,,,,,,,,,,,
7,738-3258565,100.0,,,,,,,,,,,,,,,38.4057971014493,,,,,,,,,,,,,
3,30000019762,95.1550387596899,,,,,,,,,,,,,,,1.3986013986014,,,,,,,,,,,,,
3,30000025645,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,77079500000,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,74264609991,95.3900709219858,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000000077,100.0,,,,,,,,,,,,,,,3.96039603960396,,,,,,,,,,,,,
1,10000022864,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000000256,95.1807228915663,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000034803,95.4545454545455,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.8292682926829
7,77280700000,96.3302752293578,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,72122400001,100.0,,,,,-38.6383731211317,,,,,,,,,,,,,,,,,,,,,,,
7,77471200001,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,71182900008,95.1149425287356,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,77748100001,100.0,,,,,,,,,,,,,,,1.65289256198347,,,,,,,,,,,,,
7,77842500000,99.3775933609959,,,,,,,,,,,,,,,1.0498687664042,,,,,,,,,,,,,
3,30000011705,99.0,,,,,,,,95.9677419354839,,,,,,,,,,,,,,,,,,,,
