year,agency,q035,q001,q002,q003,q004,q005,q013,q036,q037,q038,q025,q068,q014,q024,q027,q067,q039,q040,q066,q044,q045,q051,q064,arid
2009,7,230.0,,,,,,2.0,6.0,,,9.0,,1.0,1.0,64.0,,2.0,,1.0,1.0,,,2.0,738-3616059
2009,3,44.0,,,,,,14.0,,2.0,2.0,5.0,58.0,,1.0,116.0,,,,,5.0,,,,30000001039
2009,7,9.0,,,1.0,,,,1.0,,,,1.0,,3.0,1998.0,1.0,,,,,,,,77632300003
2009,3,23.0,,,,,,,1.0,,,3.0,6.0,,,18.0,,,,,3.0,,,,30000011307
2009,3,14.0,2.0,,,,,1.0,5.0,,,,10.0,,,39.0,,,,,,,,,30000022977
2009,3,3.0,,,,,,3.0,,1.0,,,,,,18.0,,,,,9.0,,,,30000011112
2009,2,170.0,2.0,2.0,,,,30.0,109.0,27.0,2.0,42.0,58.0,2.0,5.0,376.0,,13.0,1.0,9.0,122.0,4.0,,,20000659855
2009,3,44.0,,,,,,11.0,,1.0,,9.0,7.0,,,29.0,,,,,5.0,1.0,,,30000017514
2009,1,15.0,,,,,,2.0,,,,4.0,,,,29.0,,,,,2.0,,,,10000000325
2009,5,3.0,,,,,,,,,,,,,,,,,,,,,,,50000060428
2009,7,1.0,,,,,,,,,,,,,,,,,,,,,,,771-0078987
2009,3,10.0,1.0,,,,,,10.0,,,28.0,,2.0,,22.0,,,,,,,,,30000058396
2009,5,239.0,2.0,,,,,,24.0,,1.0,3.0,,,1.0,180.0,,,,,,,,,50000011570
2009,5,66.0,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,538-3358941
2009,7,27.0,,,,,,,,,,,,,,15.0,,,,,,,,,77208000003
2009,2,43.0,,,,,,1.0,,,,3.0,,,2.0,2.0,,,,,4.0,,,,20000139843
2009,7,13.0,,,,,,,195.0,,,,,,,71.0,,,,,,,,,71693600008
2009,3,59.0,56.0,6.0,,,,89.0,11.0,80.0,6.0,53.0,13.0,9.0,8.0,1897.0,,,,,109.0,1.0,,,30000011813
2009,3,18.0,,1.0,,,,1.0,,,,,,,,19.0,,,,,2.0,,,,30000010378
2009,4,2.0,2.0,,,,,6.0,,,,1.0,,,,232.0,,,,,,,,,40000002165
2009,3,2.0,,,,,,1.0,1.0,,,1.0,,,1.0,21.0,,,,,,,,,30000008200
2009,1,6.0,,,,,,4.0,,,,,9.0,,1.0,56.0,,,,,2.0,,,,10000013872
2009,5,4.0,,,,,,,2.0,,,2.0,,,,5.0,,,,,1.0,1.0,,,50000007569
2009,3,5.0,,,,,,1.0,,,,,2.0,,,24.0,,1.0,,,3.0,,,,30000027485
2009,7,1.0,9.0,1.0,,,,,23.0,4.0,,,,,,133.0,,,,,,,,,711-3714032
2009,7,136.0,,,,,,,,,,,,,,2.0,,,,,,,,,71471109991
2009,5,1.0,27.0,3.0,,,,,,,,,,2.0,,9.0,,,,,,,,,50000004735
2009,3,1.0,1.0,,,,,,1.0,,,7.0,1.0,,,12.0,,,,,25.0,,,,30000027723
2009,5,3.0,5.0,,,,,1.0,,,,,,,,20.0,,,,,5.0,,,,50000015802
2009,2,54.0,215.0,18.0,83.0,,,,37.0,,,3.0,,16.0,48.0,16393.0,,,,,,,,,20002712969
2009,5,9.0,,,,,,,,,,,,,,2.0,,,,,,,,,50000066258
2009,3,34.0,,,,,,,,1.0,,3.0,2.0,,,43.0,,,,,1.0,,,,30000002469
2009,7,1.0,,,6.0,,,,1.0,,,,,,2.0,77.0,,,,,,,,,786-1022113
2009,1,110.0,43.0,2.0,,,,42.0,28.0,14.0,,25.0,1.0,9.0,6.0,2496.0,,,,,45.0,17.0,,,10000007745
2009,2,3.0,,,,,,,7.0,,,,,,,7.0,,,,,2.0,1.0,,,20002265335
2009,7,2351.0,,,7.0,,,,63.0,,,,,,,,,,,,16.0,,,,76443809990
2009,5,1.0,,,,,,,,,,1.0,,,,3.0,,,,,,,,,50000007870
2009,3,23.0,2.0,,,,,,5.0,4.0,,1.0,12.0,,1.0,35.0,,,,,4.0,,,,30000034186
2009,5,9.0,,,,,,1.0,2.0,,,,,,,,,,,,,,,,50000011300
2009,2,8.0,1813.0,233.0,114.0,,,,87.0,6.0,,866.0,,72.0,11.0,6487.0,,,,,2.0,,,,20001072246
2009,3,111.0,,,,,,2.0,3.0,1.0,,2.0,11.0,,,13.0,9.0,,,,16.0,,,,30000008141
2009,4,61.0,15.0,2.0,,,,,2.0,,,3.0,,,,1348.0,,,,,,,,,40000006809
2009,7,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,72512209999
2009,1,12.0,174.0,15.0,345.0,,,1.0,343.0,,,114.0,,25.0,4.0,33793.0,,,,,,,,,10000023743
2009,7,2.0,20.0,4.0,,,,,7.0,3.0,,1.0,37.0,2.0,1.0,38.0,2.0,,,,5.0,1.0,,,754-0756781
2009,1,1.0,2.0,,,,,7.0,,,,1.0,,,,329.0,,,,,,,,,10000004596
2009,7,108.0,,,,,,1.0,291.0,,,,,,,158.0,,,,10.0,42.0,,,,775-2585326
2009,5,9.0,2.0,,,,,,27.0,,,,,,,50.0,,,,,,,,,50000062745
2009,7,3.0,1.0,,2.0,,,,,,,,,,,140.0,,,,,,,,,77608900002
2009,3,114.0,9.0,,,,,20.0,,2.0,,19.0,1.0,,1.0,273.0,,,,,1.0,,,,30000023627
2009,3,23.0,,,,,,,,,,4.0,1.0,,,34.0,,,,,16.0,9.0,,,30000028211
2009,4,68.0,1.0,,,,,1.0,2.0,,,,,,,3.0,,,,,,,,,40000005778
2009,5,15.0,,,,,,,,,,,,,,7.0,,,,,2.0,,,,50000061755
2009,7,70.0,162.0,22.0,339.0,,1.0,,2232.0,,,70.0,,20.0,2.0,1552.0,,,,,,,1.0,1.0,74216200005
2009,3,65.0,,,,,,,,3.0,,1.0,1.0,,,479.0,,,,1.0,9.0,2.0,,,30000010216
2009,7,56.0,18.0,1.0,2.0,,,,12.0,,,,,,,724.0,,,,,,,,,776-0236067
2009,2,16.0,2.0,,,,,5.0,2.0,2.0,,,11.0,,,61.0,,,,1.0,2.0,,,,20000614313
2009,7,13.0,,,,,,,,,,,,,1.0,223.0,,,,,,,,,738-2434249
2009,2,4.0,47.0,5.0,,,,2.0,,11.0,,393.0,14.0,4.0,4.0,1606.0,,,,,18.0,,,,20002356925
2009,7,20.0,,,,,,,,,,,,,,19.0,,,,,,,,,71360809998
2009,7,1.0,,,3.0,,,,,,,,,,1.0,300.0,,,,,,,,,786-1092244
2009,7,9.0,,,,,,,1.0,,,18.0,,,4.0,1.0,,,,,,,,,73213309992
2009,3,19.0,3.0,1.0,,,,2.0,1.0,2.0,,2.0,2.0,,,16.0,,,,,1.0,,,,30000034603
2009,2,165.0,2.0,1.0,,,,,8.0,,,4.0,,,3.0,167.0,,,,,,,,,20002713368
2009,7,20.0,5.0,1.0,,,,,4.0,,,,,,,,,,,,1.0,,,,784-1553724
2009,3,8.0,,,,,,3.0,,2.0,,,,,1.0,25.0,,,,,1.0,,,,30000012969
2009,5,8.0,3.0,,3.0,,,14.0,1.0,,,,4.0,1.0,1.0,45.0,,,,,,,,,50000023521
2009,2,115.0,,,,,,2.0,5.0,,,,,,,,,,,,,,,,20000408642
2009,2,32.0,,,,,,8.0,,4.0,,2.0,1.0,,,97.0,,,,,11.0,,,,20000596848
2009,5,1.0,,,,,,,,,,,,,,47.0,,,,,,,,,50000017012
2009,1,1.0,31.0,3.0,10.0,,,,,,,25.0,,2.0,1.0,148.0,,,,,,,,,100-1440906
2009,2,41.0,,,,,,1.0,2.0,,,,,,,9.0,,,,,2.0,,,,20000786555
2009,3,1.0,,,,,,6.0,,,,,,,2.0,33.0,,,,,7.0,,,,30000005033
2009,3,1.0,11.0,2.0,10.0,,,15.0,13.0,1.0,,93.0,,,1.0,1550.0,,,,,2.0,,,,30000031286
2009,7,38.0,,,5.0,,,3.0,1.0,,,,,,,39.0,,,,,,,,,781-0615913
2009,3,3.0,1.0,,,,,4.0,,1.0,,4.0,2.0,,,32.0,,,,,,,,,30000018238
2009,4,271.0,1.0,,,,,5.0,1.0,,,1.0,2.0,,,9.0,,,,,4.0,3.0,,,40000007788
2009,3,3.0,19.0,4.0,,,,15.0,,,,29.0,,1.0,,53.0,,,,,,,,,30000030387
2009,3,3.0,,,,,,1.0,,,,,,,,12.0,,,,,4.0,,,,30000002467
2009,2,5.0,,,1.0,,,,,,,,,,,26.0,,,,,,,,,20000529958
2009,5,5.0,,,,,,44.0,1.0,,,4.0,5.0,,,116.0,,,,,1.0,1.0,,,50000067190
2009,3,3.0,,,,,,1.0,2.0,4.0,,1.0,,1.0,2.0,145.0,,2.0,,2.0,8.0,,,,30000015219
2009,3,5.0,,,,,,1.0,,,,,1.0,,,11.0,,,,,3.0,,,,30000019525
2009,7,8.0,,,,,,,,,,,,,,153.0,,,,,,,,,72482109991
2009,4,3.0,2.0,1.0,,,,2.0,,11.0,,60.0,,,,149.0,,,,,,,,,40000015525
2009,2,2.0,74.0,5.0,,,,17.0,,3.0,,,1.0,1.0,,249.0,,,,,1.0,,,,20000795968
2009,5,4.0,,,,,,,1.0,,,,,,,8.0,,,,,,,,,50000061759
2009,3,2.0,,,,,,,1.0,,,3.0,,,,35.0,,,,,,,,,30000005019
2009,1,24.0,,,,,,5.0,,1.0,,,2.0,,1.0,33.0,,,,,1.0,2.0,,,10000014260
2009,3,9.0,,,,,,,1.0,,,,,,,7.0,,,,,9.0,2.0,,,30000013025
2009,1,350.0,9328.0,1410.0,3627.0,8.0,1.0,87.0,3132.0,172.0,,2045.0,17.0,727.0,586.0,70972.0,1.0,,,,145.0,80.0,,,10000013044
2009,7,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,741-1592297
2009,3,2.0,,,,,,,,,,,,,,12.0,,,,,,,,,338-3678425
2009,5,8.0,,,,,,,,,,11.0,,,1.0,31.0,,,,,,,,,50000066848
2009,5,14.0,5.0,,,,,,,3.0,,26.0,,1.0,1.0,18.0,,,,,,,,,50000062514
2009,5,1.0,,,,,,,,5.0,,,,,,,,,,,,,,,50000005500
2009,7,13.0,,,11.0,,,,10.0,,,9.0,,1.0,2.0,695.0,,,,,,,,,720-2928975
2009,3,121.0,,,,,,14.0,1.0,,,19.0,,2.0,,109.0,,,,,12.0,,,,30000018408
2009,3,38.0,2.0,,,,,2.0,1.0,1.0,,,,,2.0,25.0,,,,1.0,27.0,,,,30000019234
2009,4,502.0,1.0,,,,,3.0,2.0,1.0,,22.0,1.0,,,76.0,1.0,,,,,,,,40000000257
2009,3,2.0,3.0,1.0,,,,,,,,,2.0,,4.0,18.0,,,,,,,,,30000031469
2009,1,26.0,,,,,,19.0,22.0,,1.0,,2.0,1.0,,198.0,1.0,,,,12.0,,,,10000008531
2009,2,2.0,,,,,,,,,,1.0,,,1.0,40.0,,,,,1.0,,,,20000184142
2009,7,28.0,6.0,,,,,2.0,,,,,,1.0,,35.0,,,,,1.0,,,,73032309995
2009,3,14.0,26.0,,,,,22.0,,7.0,,4.0,,5.0,,36.0,,,,,,,,,30000012010
2009,1,31.0,18.0,2.0,,,,13.0,8.0,3.0,,73.0,,1.0,3.0,721.0,,,,,2.0,,,,10000024891
2009,3,1.0,1.0,,,,,2.0,,,,1.0,,,,934.0,,,,,,,,,30000014587
2009,7,1.0,,,,,,10.0,1.0,1.0,,,,,,587.0,,,,2.0,2.0,,,,77659900002
2009,4,277.0,1.0,,,,,9.0,5.0,2.0,,22.0,8.0,3.0,,138.0,1.0,12.0,,,3.0,,,,40000003309
2009,2,2.0,,,,,,,,1.0,,2.0,3.0,,,18.0,,,,,1.0,,,,20000034153
2009,7,403.0,1.0,,,,1.0,,1.0,1.0,,2.0,,1.0,3.0,158.0,,,1.0,1.0,2.0,,,,71910500003
