year,agency,q035,q001,q002,q003,q004,q005,q013,q036,q037,q038,q025,q068,q014,q024,q027,q067,q039,q040,q066,q044,q045,q051,q052,q064,arid
2005,1,14.0,91.0,,,,,,4.0,109.0,,15.0,2.0,18.0,8.0,7905.0,,,,,15.0,58.0,,,,156-0811711
2005,2,5.0,,,,,,2.0,,1.0,,,24.0,,1.0,42.0,,,,,,,,,,20000123646
2005,2,1.0,3.0,,,,,,1.0,1.0,,32.0,5.0,1.0,3.0,936.0,,7.0,,,91.0,2.0,,,,20003340967
2005,7,2.0,1.0,,,,,5.0,,,,6.0,,2.0,,202.0,,,,,,,,,,73032309995
2005,3,2.0,41.0,,,,,26.0,66.0,151.0,12.0,187.0,69.0,15.0,26.0,5502.0,,,,,208.0,1.0,,,,30000009846
2005,3,8.0,,,,,,1.0,1.0,1.0,,6.0,4.0,,1.0,32.0,,,,,14.0,,,,,30000015714
2005,2,3.0,,,,,,,2.0,,,20.0,,,3.0,33.0,,,,,11.0,,,,,20000832470
2005,3,1.0,,,,,,2.0,,,,,15.0,,,27.0,,,,,,,,,,30000012433
2005,1,20.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,10000014510
2005,5,2.0,,,,,,,,,,,,,,,,,,,,13.0,,,,50000004968
2005,3,9.0,,,,,,,,2.0,,1.0,5.0,,,7.0,,,,,,,,,,30000015158
2005,7,28.0,,,,,,,,,,1.0,,,,13.0,,,,,,,,,,737-1400739
2005,5,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,50000011300
2005,7,1.0,,,,,,,,,,,,,,,,,,,,,,,,77922100004
2005,5,14.0,3.0,,,,,,37.0,87.0,15.0,4.0,,,4.0,392.0,,,,,15.0,,,,,50000005536
2005,1,1.0,7.0,,,,,,,,,,,4.0,,42.0,,,,,1.0,,,,,176-0520586
2005,3,34.0,,,,,,,2.0,2.0,,20.0,39.0,,3.0,27.0,32.0,1.0,,,5.0,,,,,30000019459
2005,3,18.0,,,,,,,2.0,,,8.0,,,1.0,9.0,,,,,,1.0,,,,338-3543758
2005,4,17.0,552.0,11.0,,,,1.0,173.0,16.0,,1610.0,23.0,400.0,46.0,26179.0,2.0,,2.0,3.0,40.0,,,,,40133222578
2005,3,12.0,,,,,,,2.0,,,,,,,29.0,,,,,,,,,,302-0539305
2005,5,4.0,,,,,,,,,,,,,,,,,,,,,,,,50000062568
2005,3,3.0,,,,,,1.0,,,,1.0,19.0,,1.0,1.0,14.0,,,,,,,,,30000029031
2005,7,31.0,,,,,,,,,,,,,,30.0,,,,30.0,1.0,30.0,,,,755-0108343
2005,2,4.0,11.0,,,,,1.0,83.0,4.0,,30.0,1.0,9.0,8.0,5608.0,,,,,13.0,,,,,20001966578
2005,1,6.0,,,,,,,,,,,,,,3.0,,,,,,,,,,130-0164951
2005,3,2.0,,,,,,,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,30000012388
2005,3,1.0,,,,,,,2.0,,,4.0,39.0,,,77.0,,,,,4.0,,,,,30000026489
2005,2,14.0,,,,,,2.0,,1.0,,2.0,10.0,,,25.0,,,,,,1.0,,,,20000546544
2005,3,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,,30000035441
2005,2,114.0,880.0,12.0,,,,,2842.0,230.0,,3483.0,133.0,438.0,156.0,41320.0,131.0,,,,15576.0,1660.0,,,,20001644643
2005,3,10.0,1.0,,,,,,,3.0,,16.0,38.0,,1.0,77.0,,,,,,,,,,30000020369
2005,1,68.0,,,,,,10.0,,1.0,,55.0,36.0,1.0,1.0,497.0,,61.0,,,,1.0,,,,10000000209
2005,4,4.0,7.0,,,,,4.0,2.0,1.0,,1113.0,15.0,7.0,4.0,914.0,3.0,,,,,,,,,40000015115
2005,4,2.0,,,,,,1.0,1.0,,,1.0,,,,152.0,,,,,,,,,,40000002165
2005,2,33.0,5.0,,,,,,,23.0,,200.0,80.0,5.0,9.0,16024.0,14.0,1.0,,,69.0,317.0,,,,20001088890
2005,3,1.0,,,,,,,,,,1.0,,,1.0,23.0,,,,,1.0,,,,,30000034186
2005,7,206.0,,,,,,,107.0,,,13.0,,,6.0,559.0,,,,,,,,,,77071400009
2005,3,4.0,,,,,,,,1.0,,2.0,,,,27.0,,,,,,,,,,30000010378
2005,7,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,77603900000
2005,3,2.0,,,,,,,,,,3.0,6.0,,,5.0,,2.0,,,1.0,,,,,30000014690
2005,3,1.0,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,30000008405
2005,3,2.0,,,,,,2.0,,,,5.0,,,,2.0,,,,,,,,,,30000011734
2005,3,3.0,1.0,,,,,4.0,70.0,4.0,,2.0,6.0,1.0,,133.0,,5.0,,,1.0,,,,,30000017266
2005,5,1.0,,,,,,,,,,,,,,3.0,,,,,,,,,,50000002585
2005,2,3.0,,,,,,,3.0,,,5.0,,,,15.0,,,,,,,,,,20003082995
2005,5,14.0,,,,,,,,,,2.0,,,,,,,,,,,,,,50000009759
2005,7,1.0,,,,,,13.0,35.0,2.0,,68.0,,,1.0,2193.0,,,,,1.0,,,,,76430800000
2005,7,8.0,,,,,,,,,,,,,,45.0,,,,,,,,,,71257809990
2005,1,1.0,,,,,,,20.0,,,,10.0,,,30.0,,,,,,,,,,10000016773
2005,3,4.0,,,,,,1.0,1.0,1.0,,3.0,5.0,,,7.0,1.0,1.0,,,4.0,3.0,,,,30000019762
2005,7,26.0,14.0,,,,,,1.0,69.0,,19.0,,5.0,2.0,3948.0,,2.0,,,183.0,146.0,,,,706-1554666
2005,7,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,71358400004
2005,3,25.0,,,,,,19.0,,26.0,3.0,77.0,,5.0,5.0,1234.0,,,,1.0,132.0,10.0,,,,30000011813
2005,5,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,50000000649
2005,3,1.0,4.0,,,,,,,,,2.0,,,2.0,,,,,,1.0,,,,,30000019919
2005,5,30.0,,,,,,,,1.0,,2.0,,,1.0,136.0,,,,,,,,,,50000024694
2005,3,21.0,,,,,,,1.0,,,,,,,10.0,,,,,2.0,,,,,338-3566754
2005,7,1.0,,,,,,,23.0,3.0,,,,,,150.0,,,,,38.0,3.0,,,,71660600004
2005,7,2.0,,,,,2.0,,,3.0,,1.0,,,,33.0,,,,,,,,,,77793800007
2005,7,3.0,,,,,,,4.0,,,,,,,4.0,,,,,,,,,,75548809999
2005,3,33.0,,,,,,,2.0,,,7.0,2.0,,1.0,9.0,,,,,16.0,,,,1.0,30000008141
2005,1,4.0,,,,,,2.0,4.0,1.0,,11.0,5.0,,1.0,52.0,,10.0,,,6.0,,,,,10000014488
2005,3,4.0,1.0,,,,,,4.0,2.0,,1.0,27.0,,,37.0,,,,2.0,2.0,,,,,30000011394
