year,agency,q035,q001,q002,q003,q004,q005,q013,q036,q037,q038,q025,q068,q014,q024,q027,q067,q039,q066,q044,q045,q046,q051,q052,q064,arid
2014,3,3.0,,,,,,,,2.0,,,2.0,,,6.0,,,,,,,,,,30000026967
2014,5,3.0,,,,,,,,,,,,,,,,,,,,,,,,50000062542
2014,1,2.0,,,,,,3.0,1.0,,,,,,,43.0,,,,,,,,,,10000014062
2014,2,2.0,,,,,,2.0,,1.0,,1.0,3.0,,,28.0,,,,,,,,,,20000456157
2014,2,2.0,,,,,,,,,,,,,,20.0,,,,,,,,,,20000529958
2014,5,1.0,,,,,,,2.0,,,,,,,16.0,,,,,,,,,,50000024438
2014,3,1.0,1.0,,,,,,,,,,,,,4.0,,,,,,,,,,303-0365685
2014,3,6.0,,,,,,,,,,,,,,40.0,,,,,,,,,,30000014445
2014,9,1.0,3.0,,,,,9.0,34.0,10.0,1.0,5.0,5.0,18.0,25.0,713.0,,,,5.0,,,,,,90000012311
2014,3,1.0,,,,,,1.0,,,,,,,,21.0,,,,,,,,,,30000030401
2014,3,5.0,,,,,,3.0,,,,1.0,2.0,,,31.0,,,,,,,,,,30000017749
2014,1,19.0,,,,,,,1.0,,,3.0,1.0,,,52.0,,,,1.0,,,,,,10000009408
2014,7,7.0,,,,,,,2.0,,,,,,,,,,,,,,,,,77673900008
2014,1,8.0,,,,,,,1.0,2.0,,,,,,8.0,,,,,,,,,,10000703767
2014,3,38.0,,,,,,,,,,,,,,20.0,,,,,,,,,,30000005019
2014,2,22.0,6.0,,,,,1.0,2.0,2.0,,,1.0,,,148.0,,,,,,,,,,20000058243
2014,9,1.0,9.0,,3.0,1.0,,4.0,91.0,,,141.0,106.0,,,156.0,,,,,,,,,,999-0032158
2014,3,23.0,,,,,,,,,,,,,,19.0,,,,,,,,,,338-3548886
2014,1,9.0,,,,,,,,,1.0,,2.0,,,27.0,,,,,,,,,,10000000446
2014,3,10.0,,,,,,1.0,,2.0,,,6.0,,,21.0,,,,1.0,,,,,,30000017514
2014,3,1.0,,,,,,,,,,,1.0,,,11.0,,,,,,,,,,30000019234
2014,7,1.0,,,,,,,,,,,,,,4.0,,,,,,,,,,75183509992
2014,3,10.0,,,,,,,,1.0,,2.0,,,,18.0,,,,1.0,,,,,,30000012165
