year,agency,q035,q001,q002,q003,q004,q005,q013,q036,q037,q038,q025,q068,q014,q024,q027,q067,q039,q040,q066,q044,q045,q051,q052,q064,arid
2010,1,1.0,,,,,,6.0,1.0,4.0,,2.0,,,,93.0,,,,,,1.0,,,,10000014328
2010,2,1.0,5.0,,,,,,,,,,,1.0,,244.0,,,,,,,,,,20003228001
2010,7,5.0,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,72027400009
2010,7,12.0,,,,,,1.0,,,,,,,,222.0,,,,,,,,,,748-1148159
2010,3,6.0,,,,,,1.0,,,,,5.0,,,19.0,,,,,,,,,,30000012388
2010,7,3.0,,,,,,,,,,,,,,10.0,,,,,,,,,,776-0586058
2010,7,2.0,1.0,,16.0,,,1.0,,,,10.0,,1.0,4.0,421.0,,,,,,,,,,71679800001
2010,3,16.0,,,,,,,,1.0,,5.0,,,2.0,69.0,,,,,1.0,,,,,30000009678
2010,3,11.0,,,,,,1.0,,1.0,,2.0,26.0,,,95.0,2.0,,,,,,,,,30000001039
2010,7,259.0,,,,,,,1.0,,,9.0,,3.0,,55.0,,3.0,,,,,,,2.0,738-3616059
2010,3,27.0,3.0,1.0,,,,3.0,1.0,,,1.0,,,,90.0,,,,,,,,,,30000031084
2010,1,1.0,16.0,,,,,1.0,11.0,5.0,,36.0,5.0,,5.0,446.0,,,,,,,,,,10000013679
2010,5,7.0,2.0,,,,,,2.0,,1.0,1.0,,,1.0,7.0,,,,,,,,,,50000005797
2010,2,11.0,1.0,,,,,,,,,,,1.0,,3.0,,,,,,,,,,20001093317
2010,4,27.0,,,,,,,,,,1.0,,,1.0,12.0,,,,,,,,,,40000003043
2010,1,2.0,1313.0,274.0,46.0,,,,11.0,4.0,,5.0,,96.0,,1048.0,,,,,,,,,,116-1245395
2010,3,26.0,,,,,,1.0,,1.0,,,,,,6.0,,,,,,,,,,30000034983
2010,3,11.0,,,,,,,,1.0,,4.0,29.0,,,65.0,,,,,,,,,,30000011236
2010,3,24.0,1.0,,,,,16.0,,,,,16.0,,,29.0,,,,,,,,,,30000029864
2010,3,1.0,,,,,,,,,,,6.0,,,10.0,,,,,1.0,,,,,30000013054
2010,4,33.0,30.0,7.0,,,,8.0,13.0,1.0,,6.0,5.0,,5.0,73.0,,,,,118.0,,,,,40000002738
2010,2,2.0,3.0,3.0,,,,2.0,,3.0,,,,1.0,1.0,73.0,,,,,3.0,,,,,20000874845
2010,1,124.0,,,,,,5.0,,1.0,,4.0,25.0,,3.0,34.0,,,,,,,,,,10000004284
2010,3,11.0,48.0,2.0,,,,3.0,,,,2.0,3.0,,,142.0,,,,,,,,,,30000023287
2010,3,13.0,,,,,,8.0,,,,,,,2.0,38.0,,,,,,,,,,30000029786
2010,3,2.0,1.0,,,,,8.0,9.0,1.0,,5.0,,2.0,3.0,178.0,,,,,9.0,,,,,30000015019
2010,3,1.0,,,,,,,,,,,,,,5.0,,,,,,,,,,30000057141
2010,3,4.0,2.0,,,,,50.0,5.0,6.0,,1.0,3.0,,1.0,133.0,2.0,,,,2.0,,,,,30000032158
2010,5,63.0,,,,,,,16.0,,,12.0,,,,3.0,,1.0,,,,,,,1.0,588-0500878
2010,1,6.0,53.0,5.0,10.0,,,,,2.0,,7.0,,2.0,,429.0,,,,,,,,,,184-1106939
2010,4,22.0,66.0,21.0,12.0,,,613.0,,,,,,9.0,,2289.0,,,,,,,,,,40000018129
2010,5,6.0,,,,,,1.0,,,,,,,,,,,,,,,,,,50000062347
2010,3,2.0,,,,,,1.0,,,,1.0,4.0,,,14.0,,,,,,,,,,30000001143
2010,7,7.0,,,,,,,3.0,,,9.0,,,2.0,59.0,,,,,,,,,,77498400004
2010,1,28.0,3.0,1.0,,,,3.0,1.0,4.0,1.0,,11.0,3.0,7.0,13.0,3.0,1.0,,,,,,,,10000002413
2010,2,2.0,,,,,,3.0,,,,,2.0,,1.0,40.0,,,,,,,,,,20000671147
2010,4,6.0,,,,,,,,,,,,,,6.0,,,,,,,,,,40000018109
2010,1,14.0,9.0,1.0,,,,23.0,2.0,4.0,,35.0,24.0,1.0,5.0,332.0,,,,,3.0,,,,,10000009179
2010,3,65.0,,,,,,2.0,3.0,4.0,,13.0,9.0,,,83.0,,,,,,,,,,30000019459
2010,3,1.0,,,,,,,,2.0,,9.0,,1.0,1.0,88.0,,2.0,,,,,,,,30000027235
2010,4,1.0,2.0,,,,,5.0,1.0,,,,,,,143.0,,,,,,,,,,40000002165
2010,4,8.0,77.0,5.0,16.0,,,28.0,11.0,1.0,,154.0,5.0,4.0,1.0,580.0,,,,,,,,,,40000015115
2010,3,7.0,,1.0,,,,4.0,,6.0,,,,,1.0,37.0,,,,,,,,,,30000010378
2010,3,10.0,1.0,,,,,3.0,,,,1.0,3.0,,,21.0,,,,,,,,,,30000029031
2010,3,21.0,,,,,,2.0,,,,2.0,18.0,,,20.0,,,,,,,,,,30000015752
2010,4,1.0,,,,,,6.0,,2.0,,,,,,49.0,,,,,,,,,,40000004229
2010,4,159.0,,,,,,,4.0,1.0,,,2.0,,2.0,6.0,,,,,,,,,,40000007101
2010,1,2.0,,,1.0,,,,2.0,,,,,,,396.0,,,,,,,,,,148-0834305
2010,2,10.0,,,,,,4.0,,,,,1.0,,,11.0,,,,,,,,,,20000457547
2010,7,35.0,,,,,,,,,,,,,,,,,,,,,,,,72164509990
2010,1,5.0,,,,,,8.0,,,,,7.0,,,29.0,,,,,,,,,,10000013872
2010,2,119.0,11.0,1.0,1.0,,,26.0,90.0,9.0,3.0,30.0,40.0,2.0,1.0,257.0,,7.0,,,11.0,,,,2.0,20000659855
2010,3,12.0,,,,,,1.0,1.0,,,,,,,30.0,,,,,5.0,,,,,30000011112
2010,3,7.0,,,,,,,,,,1.0,2.0,,,8.0,,,,,,,,,,30000011307
2010,7,37.0,21.0,1.0,39.0,,,,138.0,,,8.0,,,,194.0,,,,,,,,,,77245500008
2010,1,140.0,4.0,,,,,93.0,,1.0,,1.0,2.0,1.0,,428.0,,,,,4.0,1.0,,,,10000024968
2010,2,18.0,,,,,,,,,,5.0,,,1.0,4.0,,,,,1.0,,,,,20000139843
2010,4,9.0,4.0,2.0,,,,,1.0,6.0,,,,1.0,,25.0,,,,,,,,,,40000017995
2010,5,4.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,50000013583
2010,7,9.0,,,,,,,,,,,,,,6.0,,,,,,,,,,77208000003
2010,5,135.0,,,,,,,1.0,,,3.0,,,,,,,,,,,,,,538-3358941
2010,3,17.0,,,,,,,8.0,2.0,,10.0,,,,28.0,,,,,,,,,,30000058396
2010,5,125.0,4.0,,,,,,19.0,,1.0,4.0,23.0,,,171.0,1.0,,,,,,,,,50000011570
2010,7,2.0,,,,,,,,,,,,,,3.0,,,,,,,,,,771-0078987
2010,3,9.0,,,,,,,1.0,,,,,,,28.0,,,,,,,,,,338-3548886
2010,1,3.0,,,,,,,,1.0,,1.0,,,,13.0,,,,,,,,,,10000000325
2010,7,13.0,20.0,,10.0,,,,1.0,1.0,,6.0,,5.0,,603.0,,,,,,,,,,71813200006
2010,3,22.0,,,,,,7.0,1.0,1.0,,5.0,3.0,,1.0,36.0,,,,,,,,,,30000017514
2010,1,77.0,,,,,,2.0,,2.0,,2.0,2.0,,,1.0,,,,,1.0,,,,,10000014510
2010,2,27.0,2.0,,,,,8.0,,1.0,,2.0,,,1.0,18.0,,,,,,,,,,20000832470
2010,3,2.0,3.0,,6.0,,,,12.0,1.0,,28.0,,2.0,1.0,123.0,,,,,,,,,,30000035139
