year,agency,q035,q001,q002,q003,q004,q005,q013,q036,q037,q038,q025,q068,q014,q024,q027,q067,q039,q040,q066,q044,q045,q051,q064,arid
2012,5,14.0,,,,,,,,,,,,,,6.0,,,,,,,,,50000066595
2012,3,1.0,,,,,,1.0,,,,,1.0,1.0,1.0,27.0,,,,,,,,,30000029141
2012,5,4.0,,,,,,,5.0,,,,,,,1.0,,,,,,,,,50000009589
2012,1,12.0,,,,,,,3.0,,,,,,2.0,3.0,,,,,,,,,10000707101
2012,3,2.0,,,,,,1.0,1.0,,,,1.0,,,9.0,,,,,,,,,30000013290
2012,3,3.0,,,,,,,,,,,,,,7.0,,,,,,,,,30000026530
2012,1,8.0,,,,,,1.0,,,,2.0,,,,11.0,,,,,,,,,10000015401
2012,1,9.0,,,,,,,,,,,,1.0,3.0,63.0,,,,,,,,,10000011573
2012,1,39.0,,,,,,,,,,,,,,25.0,,2.0,,,,,,,10000700887
2012,7,1.0,12.0,,77.0,,,,1.0,4.0,,80.0,,2.0,,161.0,,,,,,,,,737-1542226
2012,1,9.0,1.0,,,,,,,,,,,,,22.0,,,,,,,,,10000708569
2012,5,5.0,,,,,,,,,,,,,,,,,,,,,,,520-5799048
2012,7,1.0,,,,,,,,,,,,,,,,,,,,,,,771-0232620
2012,1,1.0,,,,,,,,,,1.0,14.0,1.0,,2.0,3.0,,,,,,,,10000014510
2012,3,1.0,,,,,,,,,,,,2.0,,10.0,,,,,,,,,330-0046798
2012,5,6.0,,,,,,,2.0,,,,,,,7.0,,,,,,,,,50000068485
2012,3,9.0,,,,,,2.0,,1.0,1.0,,,,4.0,36.0,,,,,,,,,30000016375
2012,3,18.0,,,,,,,1.0,2.0,,6.0,3.0,,1.0,127.0,,,,,,,,,30000010619
2012,5,1.0,,,,,,,,1.0,,1.0,,,,5.0,,,,,,,,,50000001472
2012,3,15.0,,,,,,1.0,1.0,,,,,,,17.0,,,,,,,,,30000010007
2012,3,16.0,,,,,,,,,,,,,,1.0,,,,,,,,,30000016179
2012,5,13.0,,,,,,,,,,2.0,,1.0,,12.0,,,,,,,,,50000064880
2012,1,2.0,13.0,,27.0,,,,28.0,,,353.0,1.0,22.0,3.0,744.0,,,,,,,,,10000715953
2012,5,13.0,,,,,,,,,,2.0,,,,,,,,,,,,,523-3102701
2012,7,8.0,,,,,,,,1.0,,28.0,,,1.0,163.0,,,,,,,,,722-2894356
2012,7,77.0,,,,,,,4.0,1.0,,7.0,,,1.0,88.0,,,,,,,,,726-2689428
2012,7,8.0,,,10.0,,,,70.0,,,2.0,,,,20.0,,,,,,,,,784-1564935
2012,5,5.0,,,,,,,6.0,1.0,,,,,5.0,50.0,,,,,,,,,50000019263
2012,9,1.0,5.0,,,,,4.0,5.0,49.0,,6.0,169.0,2.0,5.0,163.0,11.0,,,,2.0,,,,90000491224
2012,7,1123.0,,,,,,,,,,,,,,22.0,,,,,,,,,720-5439763
2012,3,55.0,,,,,,,,,,,,,1.0,11.0,,,,,,,,,30000029121
2012,5,42.0,,,,,,,,,,3.0,,,,62.0,,,,,,,,,50000009845
2012,3,4.0,1.0,,,,,4.0,,,,16.0,16.0,,,,,,,,,,,,30000032102
2012,3,25.0,1.0,,,,,2.0,,1.0,,,1.0,,1.0,15.0,,,,,,,,,30000000902
2012,7,4.0,,,2.0,,,,7.0,,,88.0,,4.0,4.0,214.0,,,,,,,,,783-0171636
2012,3,3.0,,,,,,,2.0,,,,,,1.0,20.0,,,,,,,,,30000009788
2012,5,4.0,,,,,,,53.0,1.0,,66.0,,,2.0,138.0,,,,,,,,,50000024692
2012,9,3.0,10.0,,,,,1.0,,8.0,,,23.0,,,555.0,,,,,,,,,90000980661
2012,2,6.0,1.0,,,,,,,,,,15.0,,3.0,31.0,,,,,,,,,20000068840
2012,5,12.0,,,,,,,,,1.0,2.0,,,,57.0,,,,,,,,,50000024524
2012,1,4.0,,,,,,4.0,5.0,,,,9.0,2.0,2.0,435.0,,,,,,,,,10000012072
2012,3,8.0,,,,,,,3.0,1.0,,,,,2.0,21.0,,,,,,,,,30000010157
2012,2,6.0,3.0,,,,,6.0,1.0,5.0,1.0,14.0,13.0,,,377.0,,,,,2.0,,,,20000542649
2012,9,8.0,7.0,,81.0,,,48.0,10.0,29.0,,190.0,10.0,10.0,2.0,8762.0,,,,,,,,,90000501105
2012,5,71.0,,,,,,,,2.0,,,2.0,,2.0,108.0,,,,,,,,,50000066834
2012,1,148.0,,,,,,1.0,11.0,2.0,,,7.0,1.0,2.0,38.0,,,,,2.0,,,,10000014488
2012,3,11.0,,,,,,,,,,,,,,25.0,,,,,,,,,338-3566754
2012,1,1.0,,,7.0,1.0,,,,,,,,,,545.0,,,,,,,,,10000708186
2012,7,3.0,22.0,3.0,64.0,,,,1.0,,,,,20.0,,10184.0,,,,,,,,,726-0021318
2012,5,4.0,,,,,,,,,,,,,,4.0,,,,,,,,,50000003061
2012,5,2.0,,,,,,,,,,,,,,797.0,,,,,,,,,551-0415301
2012,5,7.0,,,,,,,,,,,,,1.0,,,,,,,,,,50000062568
2012,5,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,50000004968
2012,1,3.0,7.0,,5.0,,,,,,,,,2.0,1.0,456.0,,,,,,,,,10000023216
2012,3,1.0,1.0,,,,,8.0,1.0,13.0,1.0,7.0,36.0,,,148.0,,,,,,,,,30000016450
2012,3,3.0,,,,,,,,,,,,,,,,,,,,,,,30000014361
2012,3,11.0,,,,,,1.0,16.0,,,,,,,70.0,,,,,,,,,30000019006
2012,2,15.0,8.0,2.0,,,,2.0,11.0,1.0,,,1.0,,2.0,40.0,,,,,23.0,,,,20000877574
2012,3,3.0,,,,,,26.0,,,,,,,,,,,,,,,,,335-1805251
2012,2,3.0,2.0,,,,,2.0,2.0,1.0,1.0,6.0,5.0,,2.0,144.0,,,,,,,,,20000074140
2012,3,31.0,,,2.0,,,,,,,,,,,140.0,,,,,,,,,30000021440
2012,3,21.0,1.0,,,,,,,1.0,,,2.0,3.0,,83.0,,,,,,,,,30000019506
2012,5,6.0,,,,,,,,,,,,,,,,,,,,,,,50000063932
2012,2,125.0,,,,,,1.0,4.0,2.0,,13.0,1.0,,7.0,133.0,,,,,,,,,20000636771
2012,7,1.0,,,,,,,,,,,,,,346.0,,,,,,,,,736-4078960
2012,3,86.0,,,,,,,,,,,,,,12.0,,,,,,,,,30000019980
2012,1,5.0,,,,,,,,,,1.0,6.0,,,107.0,,,,,,,,,10000023038
2012,1,107.0,,,,,,,2.0,1.0,,4.0,66.0,,2.0,161.0,1.0,,,,,,,,10000704192
2012,7,37.0,,,2.0,,,,5.0,2.0,,113.0,,,,215.0,,,,,,,,,787-0682600
2012,2,3.0,,,,,,,,,,,,,2.0,3.0,,,,,,,,,20001093317
2012,1,31.0,1.0,,1.0,,,,4.0,39.0,,1.0,2.0,,3.0,216.0,,,,,,,,,10000714752
2012,3,19.0,,,,,,,1.0,2.0,,1.0,19.0,1.0,1.0,112.0,,,,,,,,,30000001039
2012,7,308.0,,,,,,,3.0,,,6.0,,,,31.0,,,,,,,,,738-3616059
2012,3,1.0,,,,,,,,,,,,,,26.0,,,,,,,,,30000028531
2012,7,2.0,,,13.0,1.0,1.0,3.0,108.0,,,,,,,983.0,,,,,,,,,77516800003
2012,3,4.0,,,,,,,,,,1.0,,,4.0,65.0,,,,,5.0,,,,30000009678
2012,7,8.0,6.0,,130.0,,,3.0,1.0,1.0,,7.0,,6.0,2.0,3431.0,,9.0,,2.0,2.0,,,,77811300008
2012,5,1.0,,,2.0,,,,,,,1.0,,,,23.0,,,,,,,,,501-0940996
2012,1,5.0,,,,,,1.0,2.0,,,1.0,3.0,,,49.0,,,,,,,,,10000014397
2012,3,1.0,,,,,,,,,,,1.0,,,8.0,,,,,1.0,,,,30000012388
