agency,arid,q006,q007,q008,q009,q010,q011,q015_count,q015_value,q016,q023,q031,q047,q048,q053,q055,q056,q061,q062,q063,q070,q071,q072,q073,q074,q075,q076,q081_numer,q081_denom,q081,q082,q083
3,30000011438,95.5555555555556,,,,,,4.23280423280423,16.6186342985014,,64.5502645502645,,,,,,,,,,,,,,,,,,,,,
3,30000011519,98.4375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000011674,96.078431372549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000011699,96.7213114754098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000011772,98.5915492957747,,,,,,,,,86.0557768924303,,,,,,,,,,,,,,,,,,,,,
3,30000013054,96.0,,,,,,,,,,,,,,,,4.86111111111111,,,,,,,,,,,,,,23.3333333333333
3,30000013202,96.6666666666667,,,,,,,,,40.9090909090909,,,,,,,,,,,,,,,,,,,,,21.2121212121212
3,30000013753,95.3488372093023,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,76.0,61.8421052631579,60.5263157894737,60.5263157894737
3,30000015228,96.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.8064516129032
3,30000015323,97.4358974358974,,,,,,,,,37.5,,,,,,,,,,,,,,,,,,,,,26.1363636363636
3,30000015830,95.2380952380952,,,,,,4.37956204379562,12.4937371897062,,,,,,,,,,,,,,,,,,,,,,,
3,30000016629,95.1807228915663,,,,,,,,,62.111801242236,,,,,,,,,,,,,,,,,,,,,
3,30000016689,95.5752212389381,,,,,,,,,46.8493150684932,,,,,9.4017094017094,,9.97150997150997,,,,,,,,,,,,,,
3,30000016825,96.7741935483871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.48730964467
3,30000017687,96.551724137931,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,35.0,54.2857142857143,54.2857142857143,54.2857142857143
3,30000017739,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,38.0,55.2631578947368,55.2631578947368,55.2631578947368
3,30000019401,97.4358974358974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.3253012048193
3,30000020161,97.2906403940887,,,,,-27.1802325581395,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000022327,97.2093023255814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000023222,96.2962962962963,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,32.0,78.125,78.125,78.125
3,30000023296,100.0,,,,,,15.0,52.3661948236871,,,,,,,,,,,,,,,,,,,,,,,43.3333333333333
3,30000027118,97.5,,,,,,,,,67.2619047619048,,,,,,,,,,,,,,,,,,,,,
3,30000027362,96.9230769230769,,,,,-23.9592183517417,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000028635,95.3488372093023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000029471,95.1219512195122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000033963,97.7272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000034038,96.078431372549,,,,,,7.8125,10.4740904079383,,,,,,,,,,,,,,,,,,,40.0,64.0,62.5,62.5,62.5
3,30000034119,97.2972972972973,,,,,,5.49450549450549,19.4466361580138,,,,,,,,,,,,,,,,,,,58.0,91.0,63.7362637362637,63.7362637362637,63.7362637362637
3,30000034409,97.8723404255319,,,,,,,,,63.8888888888889,,,,,,,1.40845070422535,,,,,,,,,,,,,,
3,30000034432,100.0,,,,,,2.06185567010309,18.4151156232375,,80.4123711340206,,,,,,,1.06382978723404,,,,,,,,,,,,,,
3,30000034440,96.7741935483871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000034869,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,32.0,78.125,78.125,78.125
3,30000035295,95.5102040816327,,,,,109.141274238227,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000035465,98.0392156862745,,,,,,6.57894736842105,24.6860693263571,,,,,,,,,,,,,,,,,,,86.0,152.0,56.578947368421,56.578947368421,56.578947368421
3,30000035480,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,36.0,77.7777777777778,77.7777777777778,77.7777777777778
3,30000035513,96.4912280701754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000057026,97.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.6666666666667
3,30000057488,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,49.0,100.0,100.0,100.0
3,30000057512,95.7446808510638,,,,,,32.3076923076923,67.7512337201757,,,,,,,,,,,,,,,,,,,,,,,47.6923076923077
3,30000057787,100.0,,,,,,18.4210526315789,92.985159916189,,,,,,,,,,,,,,,,,,,30.0,38.0,78.9473684210526,78.9473684210526,78.9473684210526
3,30000057898,98.2758620689655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4
3,30000057942,97.9166666666667,,,,,,10.6060606060606,25.6952169076752,,,,,,,,,,,,,,,,,,,50.0,66.0,75.7575757575758,75.7575757575758,75.7575757575758
3,30000057967,100.0,,,,,,1.75438596491228,16.3164311841067,,,,,,,,,,,,,,,,,,,30.0,57.0,52.6315789473684,52.6315789473684,52.6315789473684
3,30000058000,98.0769230769231,,,,,,2.83018867924528,17.7942302782742,,,,,,,,,,,,,,,,,,,,,,,26.4150943396226
3,30000058100,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,30.0,100.0,100.0,100.0
3,30000058154,97.5,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,48.0,66.6666666666667,58.3333333333333,58.3333333333333
3,30000058348,95.959595959596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000058608,95.8333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.551724137931
3,30000058691,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.8163265306122
3,30000058728,100.0,,,,,,16.9491525423729,22.0980721357031,,,,,,,,,,,,,,,,,,,,,,,42.3728813559322
3,30000058739,97.4025974025974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000058783,100.0,,,,,,30.0,87.1875527782469,,,,,,,,,,,,,,,,,,,26.0,40.0,65.0,65.0,65.0
3,30000058852,100.0,,,,,,11.1111111111111,25.0805190024846,,,,,,,,,,,,,,,,,,,23.0,36.0,63.8888888888889,63.8888888888889,63.8888888888889
