year,agency,q035,q001,q002,q003,q004,q005,q013,q036,q037,q038,q025,q068,q014,q024,q027,q067,q039,q040,q066,q044,q045,q051,q052,q064,arid
2006,3,2.0,1.0,,,,,2.0,,,,4.0,7.0,,1.0,18.0,,,473.0,,,,,,,30000029864
2006,2,85.0,11.0,,,,,13.0,70.0,5.0,,134.0,9.0,,2.0,257.0,4.0,29.0,2004.0,2.0,61.0,6.0,,,,20000659855
2006,3,4.0,1.0,,,,,1.0,,,,,21.0,,,32.0,,,20.0,,,,,,,30000011236
2006,4,2.0,4.0,,,,,,,2.0,,2.0,27.0,,1.0,131.0,,,97.0,,1.0,,,,,40000002818
2006,3,4.0,,,,,,,,,,,1.0,,1.0,,1.0,,107.0,,,,,,,30000019980
2006,3,4.0,,,,,,8.0,1.0,1.0,,2.0,,,,65.0,,,174.0,,12.0,,,,,30000027933
2006,1,1.0,,,,,,,1.0,,,,,,1.0,6.0,,,222.0,,,,,,,133-1005790
2006,4,4.0,3.0,,,,,1.0,2.0,,,,,,,320.0,,,173.0,1.0,2.0,,,,,40000005746
2006,3,4.0,3.0,,,,,,5.0,,,,,,1.0,20.0,,,506.0,,,,,,,338-3394926
2006,2,2.0,141.0,16.0,,,,4.0,,54.0,,2.0,,7.0,,30.0,,,1106.0,,,,,,,20000795968
2006,3,6.0,1.0,,,,,,,,,1.0,,,,3.0,,,146.0,,,,,,,338-3602342
2006,3,1.0,1.0,,,,,10.0,,,,1.0,14.0,1.0,,23.0,,,46.0,,1.0,,,,,30000016606
2006,2,2.0,,,,,,8.0,1.0,1.0,,,22.0,,,22.0,,,55.0,,,,,,,20000456157
2006,3,1.0,,,,,,7.0,,,,3.0,1.0,,1.0,41.0,,1.0,14.0,,,,,,,30000017282
2006,7,44.0,,,,,,,,,,1.0,,,,18.0,,,115.0,,,,,,,72482109991
2006,1,101.0,1.0,,,,,6.0,,1.0,,3.0,21.0,,1.0,36.0,,,737.0,,,,,,,10000004284
2006,1,4.0,,,,,,6.0,1.0,,,10.0,21.0,,,182.0,,,112.0,,3.0,,,,,10000023038
2006,3,1.0,,,,,,,,,,,3.0,,,4.0,1.0,,38.0,,,,,,,30000027723
2006,7,4.0,1.0,1.0,,,,,,,,,,,1.0,71.0,,,988.0,,,,,,,72467100004
2006,5,1.0,,,,,,,,,,,,,,,,,21.0,,,,,,,50000060238
2006,7,38.0,,,,,,,,,,,,,,11.0,,,461.0,,1.0,,,,,77471200001
2006,2,3.0,1.0,,,,,,,,,8.0,,,,12.0,,,131.0,,,,,,,20003311387
2006,1,75.0,,,,,,,,,,2.0,,,,1.0,,,129.0,,,,,,,175-2985537
2006,3,2.0,,,,,,,,1.0,,,,,,6.0,,,62.0,,1.0,,,,,30000012384
2006,3,2.0,1.0,,,,,1.0,26.0,1.0,2.0,,10.0,,1.0,100.0,,,380.0,,4.0,,,,,30000022407
2006,1,1.0,,,,,,,,,,,2.0,,,2.0,,,18.0,,,,,,,10000003839
2006,2,21.0,,,,,,,,,,,,,,1.0,,,349.0,,,,,,,20003223583
2006,7,6.0,,,,,,,1.0,3.0,,2.0,,,,33.0,,,571.0,,,,,,,71382500001
2006,3,2.0,,,,,,4.0,1.0,1.0,,1.0,7.0,,2.0,15.0,,,63.0,,1.0,1.0,,,,30000014633
2006,7,3.0,8.0,3.0,,,,,13.0,3.0,,4.0,,1.0,,198.0,,,111.0,,8.0,8.0,,,,72182409993
2006,7,7.0,,,,,,,6.0,,,,,,35.0,4622.0,,,102.0,,,,,,,73802909995
