agency,arid,q006,q007,q008,q009,q010,q011,q015_count,q015_value,q023,q031,q047,q048,q053,q055,q056,q061,q070,q071,q072,q073,q074,q075,q076,q081_numer,q081_denom,q081,q082,q083
3,30000011699,98.3870967741936,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000011772,95.2380952380952,,,,,,,,87.3983739837398,,,,,,,,,,,,,,,,,,,
3,30000012386,96.551724137931,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000013351,96.8085106382979,,,,,,3.30882352941176,10.0433121019108,,,,,,,,,,,,,,,,,,,,
3,30000015050,98.1818181818182,,,,,,1.31578947368421,29.2815798433776,,,,,,,,,,,,,,,,51.0,76.0,67.1052631578947,67.1052631578947,67.1052631578947
3,30000015300,97.4025974025974,,,,,,,,,,,,,,,,,,,,,,,,,,,22.680412371134
3,30000016288,95.4545454545455,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000016629,95.2941176470588,,,,,,4.83870967741935,16.7167836061922,59.6774193548387,,,,,,,,,,,,,,,,,,,
3,30000016825,97.2222222222222,,,,,,,,47.682119205298,,,,,,,,,,,,,,,,,,,35.0993377483444
3,30000017470,97.8260869565217,,,,,,31.25,70.293633717251,,,,,,,,,,,,,,,,44.0,80.0,55.0,55.0,55.0
3,30000017884,95.1612903225807,,,,,,0.689655172413793,11.3598396257935,,,,,,,,,,,,,,,,,,,,
3,30000017979,96.2962962962963,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000019333,97.7777777777778,,,,,,27.1739130434783,38.9268114619456,,,,,,,,,,,,,,,,,,,,
3,30000019716,97.7099236641221,,,,,,,,38.4615384615385,,,,,,,,,,,,,,,,,,,
3,30000019813,95.2380952380952,,,,,,,,,,,,,,,2.63157894736842,,,,,,,,,,,,
3,30000020161,96.529284164859,,,,,,0.872093023255814,13.4547761943791,,,,,,,,,,,,,,,,,,,,
3,30000020568,95.6521739130435,,,,,,,,84.1346153846154,,,,,,,15.0753768844221,,,,,,,,,,,,
3,30000025679,97.6744186046512,,,,,,16.0,66.4906606824632,,,,,,,,,,,,,,,,34.0,50.0,68.0,68.0,68.0
3,30000026395,95.7142857142857,,,,,,3.2258064516129,14.6795518856216,,,,,,,,,,,,,,,,,,,,25.8064516129032
3,30000026444,97.8494623655914,,,,,,10.0,25.7941082102411,,,,,,,,,,,,,,,,,,,,
3,30000026574,97.0588235294118,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000026912,95.3781512605042,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000027226,100.0,,,,,,48.7179487179487,51.826712216371,,,,,,,,,,,,,,,,,,,,38.4615384615385
3,30000027362,98.1818181818182,,,,,-49.5715509854327,,,,,,,,,,,,,,,,,,,,,,
3,30000029930,97.4358974358974,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000032293,96.3636363636364,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000033963,100.0,,,,,,3.2,36.8263012011087,,,,,,,,,,,,,,,,,,,,20.8
3,30000034038,96.551724137931,,,,,,19.5121951219512,21.9568567026194,,,,,,,,,,,,,,,,,,,,48.780487804878
3,30000034409,97.5903614457831,,,,,,,,78.8546255506608,,,,,5.82959641255605,,3.1390134529148,,,,,,,,,,,,
3,30000034711,97.8723404255319,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000035020,96.1538461538462,,,,,,,,66.1654135338346,,,,,,,,,,,,,,,,,,,
3,30000057026,100.0,,,,,,,,52.3076923076923,,,,,,,,,,,,,,,,,,,50.0
3,30000057249,96.4705882352941,,,,,,6.86274509803922,39.8226987630961,,,,,,,,,,,,,,,,,,,,27.9411764705882
3,30000057540,97.3913043478261,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000057898,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000058154,97.2222222222222,,,,,,,,,,,,,,,4.34782608695652,,,,,,,,,,,,33.3333333333333
3,30000058210,95.625,,,,,,13.2275132275132,40.6046451036588,,,,,,,,,,,,,,,,272.0,378.0,71.9576719576719,71.9576719576719,71.9576719576719
3,30000058348,95.5223880597015,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000058386,100.0,,,,,,16.4179104477612,17.0354671819485,,,,,,,,,,,,,,,,38.0,67.0,56.7164179104478,53.7313432835821,53.7313432835821
3,30000058509,95.1219512195122,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000058608,96.2962962962963,,,,,,,,,,,,,,,,,,,,,,,79.0,94.0,84.0425531914894,84.0425531914894,84.0425531914894
3,30000058626,95.7446808510638,,,,,,,,,,,,,,,,,,,,,,,49.0,49.0,100.0,95.9183673469388,95.9183673469388
3,30000058631,96.2085308056872,,,,,,4.88888888888889,33.3982378425741,,,,,,,,,,,,,,,,168.0,225.0,74.6666666666667,74.6666666666667,74.6666666666667
3,30000058739,95.7746478873239,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000058889,95.3125,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000058935,97.9381443298969,,,,,,5.23255813953488,25.9956190674872,,,,,,,,,,,,,,,,,,,,
3,345-3979890,96.551724137931,,,,,,,,,,,,,,,,,,,,,,,,,,,
