agency,q035,q001,q002,q003,q004,q005,q013,q036,q037,q038,q025,q068,q014,q024,q027,q067,q039,q040,q066,q044,q045,q051,q052,q064,totals,year
1,1727.0,42033.0,6967.0,12177.0,48.0,32.0,9605.0,9728.0,2290.0,189.0,10794.0,3857.0,2861.0,2153.0,380312.0,107.0,366.0,1806796.0,40.0,844.0,42.0,,,12.0,2292980.0,2010
2,585.0,5734.0,849.0,514.0,,,2073.0,599.0,781.0,67.0,4765.0,2682.0,460.0,216.0,41737.0,11.0,34.0,254393.0,29.0,2470.0,205.0,,1.0,2.0,318207.0,2010
3,1628.0,7345.0,960.0,814.0,11.0,1.0,8283.0,2256.0,2068.0,229.0,4765.0,7183.0,528.0,671.0,87186.0,82.0,157.0,265140.0,215.0,1248.0,53.0,83.0,,,390906.0,2010
4,1163.0,9238.0,951.0,748.0,21.0,2.0,4090.0,811.0,583.0,6.0,3161.0,2437.0,489.0,121.0,48392.0,139.0,122.0,233441.0,7.0,240.0,115.0,19.0,,,306296.0,2010
5,855.0,1837.0,161.0,35.0,5.0,3.0,734.0,1087.0,426.0,73.0,859.0,457.0,77.0,117.0,9343.0,20.0,28.0,144594.0,51.0,305.0,56.0,,,23.0,161146.0,2010
7,1427.0,3622.0,272.0,7480.0,50.0,3.0,1342.0,6149.0,142.0,2.0,6189.0,893.0,389.0,586.0,251117.0,23.0,33.0,380859.0,172.0,8078.0,2.0,,,3.0,668833.0,2010
8,,20.0,1.0,,,,,48.0,,,2.0,5.0,37.0,33.0,290.0,5.0,,,,,,,,,441.0,2010
total,7385.0,69829.0,10161.0,21768.0,135.0,41.0,26127.0,20678.0,6290.0,566.0,30535.0,17514.0,4841.0,3897.0,818377.0,387.0,740.0,3085223.0,514.0,13185.0,473.0,102.0,1.0,40.0,4138809.0,2010
