agency,q035,q001,q002,q003,q004,q005,q013,q036,q037,q038,q025,q068,q014,q024,q027,q067,q039,q040,q066,q044,q045,q051,q052,q064,totals,year
1,606.0,60486.0,8535.0,39.0,,4.0,12631.0,20238.0,22614.0,386.0,13497.0,5377.0,3672.0,630.0,206582.0,833.0,273.0,1054430.0,123.0,27054.0,6599.0,,2.0,1.0,1444612.0,2007
2,1781.0,23328.0,3237.0,10.0,1.0,8.0,5035.0,11876.0,6255.0,96.0,9871.0,4331.0,2545.0,395.0,89621.0,240.0,160.0,543003.0,1087.0,76039.0,29244.0,,,13.0,808176.0,2007
3,926.0,5361.0,954.0,2.0,,4.0,11375.0,4964.0,3001.0,194.0,3791.0,12823.0,733.0,679.0,82093.0,1254.0,392.0,80400.0,466.0,12734.0,862.0,,1.0,6.0,223015.0,2007
4,242.0,61074.0,10948.0,41.0,,,21049.0,7016.0,4021.0,77.0,10456.0,9238.0,2219.0,447.0,170382.0,493.0,247.0,279172.0,93.0,29713.0,7886.0,10.0,,,614824.0,2007
5,159.0,993.0,126.0,,,,419.0,1795.0,1440.0,124.0,903.0,326.0,56.0,193.0,7381.0,101.0,83.0,46045.0,79.0,968.0,514.0,,,4.0,61709.0,2007
7,1397.0,20380.0,2268.0,89.0,7.0,51.0,5147.0,21200.0,5236.0,26.0,5651.0,1217.0,1090.0,1217.0,315550.0,39.0,331.0,330363.0,319.0,59445.0,10689.0,72.0,1.0,5.0,781790.0,2007
total,5111.0,171622.0,26068.0,181.0,8.0,67.0,55656.0,67089.0,42567.0,903.0,44169.0,33312.0,10315.0,3561.0,871609.0,2960.0,1486.0,2333413.0,2167.0,205953.0,55794.0,82.0,4.0,29.0,3934126.0,2007
