agency,q006,q007,q008,q009,q010,q011,q015_count,q015_value,q016,q023,q031,q047,q048,q053,q055,q056,q061,q062,q063,q070,q071,q072,q073,q074,q075,q076,q081_numer,q081_denom,q081,q082,q083,totals,year
1,2043.9328774266232,622.1567113248306,521.4986216949584,159.04784743260672,131.85283152972232,-4030.546916128633,3721.576281085738,8145.072414899455,,16113.198320376827,1383.0,39.0452876376989,5.26315789473684,,38.359788359788396,,313.75283999318026,,,,,43.8905890557828,4.14910047167842,1120.1879514619832,,21.7050045088399,1339.0,2173.0,2691.1061609486333,2420.3959171849833,5835.0015654673225,44855.64635262676,2014
2,1764.8549182385225,367.14050511658604,414.39182263636263,54.436881188118804,44.23642654574828,-1438.3889329396266,2107.7491747931,5530.258650137122,,10242.334446281193,294.0,,,,26.85415629666504,,67.88200843522218,,,,,,,270.1461907962414,,21.984363719821,1262.0,2041.0,1628.783912159749,1570.5675500335033,5252.206844395741,31522.43891783407,2014
3,6728.639284631665,1549.044565002398,1725.773396304838,328.96154424225483,399.6845647403799,17060.539854889095,11196.58755184564,26686.516877150523,130.0,40595.22546178204,,14.8936170212766,25.414364640884,,156.8110694612538,,713.3347017909713,45.945945945946,2.39598278335724,-44.406546318039396,,,,821.4041604387168,,20.60432061553,8582.0,12637.0,10864.464178085937,10596.20551686753,27268.001679648944,178105.04209157114,2014
5,3934.5976259983318,1911.3917346709177,2069.4626753893376,860.581598225452,368.4469096741667,-5540.916909342704,261.8700840595661,663.9580953797245,,18467.38130524914,,780.1854311032462,256.329144692282,164.0671653332935,18.886839132237892,216.7059334168969,339.54022667894884,,,,,,,,44.9459116191477,34.4194114208221,4091.0,6838.0,2091.3757679091896,451.1035704833235,3107.7862662896046,41431.118787382926,2014
7,1782.463573797594,699.1561007599411,2607.726109505292,1068.890241281287,338.6999094201735,5532.408375677666,1537.9595088679162,1552.7608939430656,,3754.893773942449,,176.91767169177322,75.06533817377459,,92.0230263157895,174.1927801027526,365.3446557414235,,,101.6682535143623,82.45232750385759,158.1877671645951,,6496.864383201006,46.08377150117739,122.738988301717,3006.0,4819.0,256.54795843123827,55.4666666666667,427.6743805089696,35331.18645601449,2014
9,,139.1175444260205,73.1830965338398,72.2222291396011,90.5806125438728,-3009.6753076465884,924.721737319209,2024.7636934993502,,377.1152429300348,14715.0,,,,,,168.75,,,-54.8006109126957,-71.8992144537053,,31.0177428166626,1850.8932564784964,18.471939109243394,109.82058830559248,,,,,395.3467886479637,17854.629338736897,2014
total,16254.488280092737,5288.007161300694,7412.035722064628,2544.14034150932,1373.5012544540634,8573.42016450921,19750.46433797117,44603.33062500924,130.0,89550.1485505617,16392.0,1011.0420074539949,362.0720054016774,164.0671653332935,332.9348795657346,390.8987135196495,1968.604432639746,45.945945945946,2.39598278335724,2.4610962836272066,10.553113050152291,202.07835622037788,35.16684328834102,10559.495942376445,109.50162222956848,331.27267687232245,18280.0,28508.0,17532.277977534748,15093.739221236006,42286.01752495855,349100.0619441663,2014
