year,agency,q035,q001,q002,q003,q004,q005,q013,q036,q037,q038,q025,q068,q014,q024,q027,q067,q039,q040,q066,q044,q045,q051,q064,arid
2013,3,14.0,1.0,,,,,4.0,,1.0,,1.0,,,,21.0,,,,,,,,,30000012165
2013,3,14.0,1.0,,,,,,1.0,1.0,,16.0,10.0,,,44.0,,,,,,,,,30000019459
2013,3,7.0,,,,,,,,,1.0,2.0,,,,74.0,,,,,,,,,30000027235
2013,3,5.0,,,,,,,,,,2.0,,,,91.0,,,,,3.0,,,,30000003121
2013,3,8.0,1.0,,,,,7.0,4.0,,,,,,,24.0,,,,,,,,,30000028405
2013,5,1.0,4.0,1.0,,,,,5.0,,,10.0,,,,127.0,,,1.0,1.0,1.0,,,,50000000196
2013,3,31.0,,,,,,9.0,,,,2.0,,1.0,,47.0,,,,,,,,,30000029786
2013,5,2.0,,,,,,,,1.0,,,,,,5.0,,,,,,,,,50000068613
2013,2,56.0,1.0,,,,,4.0,7.0,,,,,,,25.0,,,,,,,,,20000861304
2013,3,26.0,,,,,,,,1.0,,2.0,,,,30.0,,,,,,,,,30000011236
2013,3,8.0,1.0,,,,,10.0,,,,1.0,41.0,,1.0,40.0,,,,,,,,,30000029864
2013,1,14.0,,,,,,,,,,,10.0,,,17.0,,,,,,,,,10000703043
2013,9,1.0,1254.0,138.0,2.0,,,,,142.0,11.0,6.0,19.0,40.0,,472.0,,,,,,,,,90000697633
2013,3,4.0,86.0,9.0,,,,3.0,,1.0,,,10.0,3.0,,68.0,,,,,,,,,30000023287
2013,1,8.0,12.0,1.0,,,,12.0,2.0,39.0,,3.0,,1.0,,212.0,,,,,,,,,10000714752
2013,3,2.0,11.0,1.0,,,,31.0,27.0,13.0,1.0,121.0,12.0,1.0,,323.0,,6.0,,,6.0,,,,30000030788
2013,7,5.0,1.0,,4.0,,,,8.0,3.0,,45.0,1.0,,,144.0,,,,,,,,,787-0682600
2013,3,27.0,,,,,,7.0,,3.0,1.0,2.0,2.0,,,105.0,,,,,,,,,30000001039
2013,7,213.0,,,,,,,7.0,,,,,,,25.0,,,,,,,,,738-3616059
2013,2,1.0,1.0,,,,,12.0,,,,1.0,,,,47.0,,,,,,,,,20000884303
2013,7,1.0,6.0,,,,,,44.0,4.0,,282.0,,,3.0,133.0,,5.0,,,,,,,791-1374387
2013,7,9.0,7.0,,1.0,,,,3.0,,,10.0,,,,853.0,,,,,,,,,748-1148159
2013,1,7.0,4.0,1.0,,,,41.0,2.0,,,,,2.0,1.0,134.0,,,,,1.0,,,,10000001354
2013,1,9.0,,,,,,,,,,,,,,53.0,,,,,,,,,146-0429381
2013,5,15.0,,,,,,,,,,3.0,,,,52.0,,,,,4.0,,,,50000061755
2013,3,3.0,4.0,1.0,,,,,,4.0,,1.0,,,,21.0,,,,,1.0,,,,30000014633
2013,3,4.0,,,,,,1.0,3.0,,,1.0,,,2.0,7.0,,,,,3.0,,,,30000011492
2013,3,7.0,26.0,1.0,,,,5.0,6.0,,,,4.0,,,20.0,,,,,11.0,,,,399-0877574
2013,3,2.0,57.0,6.0,,,,20.0,7.0,7.0,4.0,1.0,,1.0,8.0,349.0,,,,,2.0,,,,30000013425
2013,3,3.0,,,,,,5.0,,,,10.0,,,,44.0,,,,,,,,,30000017282
2013,5,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,50000060238
2013,3,2.0,6.0,2.0,,,,112.0,,9.0,,7.0,1.0,4.0,3.0,163.0,,,,,,,,,30000023627
2013,3,6.0,1.0,1.0,,,,20.0,2.0,4.0,1.0,1.0,26.0,1.0,1.0,83.0,,,,,,,,,30000020250
2013,3,1.0,12.0,1.0,,,,,14.0,1.0,,,,,,,,,,,1.0,,,,30000057451
2013,5,22.0,2.0,,,,,14.0,,1.0,,1.0,,,,42.0,,,,,,,,,50000066330
2013,7,5.0,,,,,,,,,,,,,,,,,,,,,,,71360809998
2013,7,4.0,5.0,,,,,,,,,,,1.0,1.0,49.0,,,,,,,,,722-2690691
2013,3,1.0,,,,,,1.0,24.0,,,,,,2.0,24.0,,,,,,,,,30000011734
2013,7,1.0,24.0,,14.0,,,,2.0,,,27.0,,2.0,4.0,1051.0,,,,,,,,,747-0912342
2013,3,3.0,,,,,,9.0,,6.0,,6.0,,,,39.0,,2.0,,,,,,,30000008698
2013,3,1.0,3.0,,,,,10.0,1.0,,,,1.0,,,42.0,,,,,,,,,30000090253
2013,7,6.0,3.0,,80.0,3.0,,1.0,283.0,,,26.0,,2.0,1.0,7781.0,,,,,2.0,,,,76443809990
2013,1,26.0,1.0,,,,,,,,,4.0,,,,18.0,,,,,,,,,10000014369
2013,3,1.0,,,,,,1.0,,,,,,,,2.0,,,,,,,,,30000026594
2013,1,19.0,,,,,,,,,,,,,,102.0,,,,,,,,,137-1400739
2013,5,10.0,1.0,,,,,16.0,5.0,1.0,,,,,,2.0,,,,,,,,,50000015802
2013,3,6.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,30000012384
2013,3,3.0,,,,,,,,,,,,,,45.0,,,,,,,,,326-1717830
2013,1,3.0,,,,,,6.0,,,1.0,3.0,3.0,,,36.0,,,,,,,,,10000705174
2013,3,32.0,,,,,,3.0,8.0,,,1.0,,,,31.0,,,,,1.0,,,,30000008141
2013,3,3.0,18.0,2.0,,,,25.0,41.0,,,68.0,28.0,5.0,1.0,74.0,,,,,1.0,,,,30000028489
2013,1,2.0,1.0,,,,,5.0,2.0,2.0,,2.0,1.0,,1.0,28.0,,3.0,,,,,,,10000002725
2013,1,8.0,,,,,,6.0,,,,1.0,12.0,,,13.0,,,,,,,,,10000700041
2013,5,4.0,,1.0,,,,1.0,33.0,,,,4.0,,,109.0,,,,,,,,,50000060042
2013,5,20.0,1.0,,,,,4.0,,,,,1.0,,,14.0,,,,,,,,,50000003413
2013,5,10.0,2.0,,,,,9.0,4.0,2.0,,199.0,,,1.0,65.0,,,,,,1.0,,,50000024694
2013,7,1.0,72.0,2.0,1.0,,,,,4.0,,,,1.0,,10.0,,,,,,,,,736-3987946
2013,9,103.0,281.0,12.0,,,,120.0,4.0,2.0,,3.0,50.0,13.0,6.0,732.0,,,,,,,,,90000917742
2013,1,1.0,6.0,,,,,16.0,,1.0,,,,,3.0,58.0,,,,,,,,,10000002311
2013,3,27.0,1.0,,,,,1.0,,2.0,,,,2.0,,14.0,,,,,,,,,30000020856
2013,1,1.0,,,,,,,1.0,,,6.0,,,,20.0,,,,,,,,,10000704492
2013,3,41.0,,,,,,5.0,2.0,,,10.0,16.0,,3.0,24.0,,,,,,,,,30000005019
2013,7,19.0,,,,,,,,,,,,,,,,,,,,,,,77673900008
2013,1,5.0,,,,,,4.0,,1.0,,,,,,6.0,,,,,1.0,,,,10000703767
2013,3,34.0,7.0,,,,,13.0,,2.0,,1.0,6.0,,,89.0,,,,,,,,,30000013177
2013,3,17.0,3.0,,,,,12.0,1.0,4.0,,,,,2.0,32.0,,,,,,,,,30000017749
2013,1,38.0,1.0,1.0,,,,3.0,2.0,,,2.0,1.0,,,69.0,,,,,,,,,10000009408
2013,3,3.0,,,,,,,,,,,,,2.0,416.0,,,,,,,,,30000022946
2013,2,6.0,,,,,,,,,,,,,,12.0,,,,,,,,,20000529958
2013,5,4.0,1.0,,,,,,,,,1.0,,,,10.0,,,,,,,,,50000024438
2013,3,2.0,,,,,,1.0,,2.0,,,,,,32.0,,,,,,,,,30000014445
2013,7,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,77748100001
2013,7,15.0,,,,,,,3.0,,,,,,,,,,,,,,,,742-1130287
2013,3,3.0,5.0,,,,,26.0,1.0,4.0,,,,,,60.0,,,,,,,,,30000016606
2013,1,13.0,,,,,,3.0,,,,1.0,5.0,,2.0,11.0,,,,,,,,,10000014221
2013,1,3.0,71.0,4.0,,,,17.0,6.0,3.0,,37.0,,2.0,,286.0,,,,,,,,,10000024891
2013,7,6.0,48.0,,12.0,,,,,3.0,,54.0,,1.0,1.0,1533.0,,,,,,,,,77774500004
2013,7,1.0,6.0,1.0,12.0,1.0,,,,,,,,,,208.0,,,,,,,,,757-1175755
2013,3,16.0,1.0,,,,,19.0,3.0,1.0,,3.0,2.0,,,90.0,,,,,,,,,30000018408
2013,5,3.0,3.0,,,,,,,1.0,,,,,,5.0,,,,,,,,,50000005500
2013,9,21.0,3.0,1.0,,,,4.0,4.0,1.0,,,2.0,,,66.0,,,,,,,,,90000717924
2013,7,35.0,2.0,,1.0,,,,,,,,,,,86.0,,,,,,,,,720-1875448
2013,3,4.0,2.0,,,,,11.0,1.0,2.0,,12.0,4.0,,1.0,49.0,,,,,,,,,30000028114
2013,3,2.0,,,,,,3.0,,,,,4.0,,,44.0,,,,,,,,,30000011670
2013,1,1.0,5.0,,,,,5.0,4.0,4.0,,2.0,1.0,2.0,3.0,118.0,,,,,,,,,10000024975
2013,3,1.0,6.0,2.0,1.0,,,22.0,,3.0,,1.0,1.0,1.0,,17.0,,,,,,,,,30000012010
2013,3,2.0,9.0,2.0,,,,27.0,54.0,56.0,,14.0,15.0,1.0,2.0,287.0,,,,,1.0,,,,30000016191
2013,3,10.0,,,,,,2.0,,1.0,,,1.0,,,10.0,,,,,,,,,30000019234
2013,1,32.0,,,,,,2.0,,,,,,1.0,,2.0,,,,,,,,,10000001154
2013,2,19.0,1.0,,,,,11.0,,4.0,,1.0,2.0,1.0,,39.0,,,,,4.0,,,,20000596848
2013,2,52.0,,,,,,,2.0,,,,,,,,,,,,,,,,20000408642
2013,3,70.0,4.0,,,,,2.0,,1.0,,5.0,,,,2.0,,,,,,,,,30000014816
2013,7,6.0,4.0,,10.0,,,,7.0,1.0,,,,,,135.0,,,1.0,1.0,1.0,,,,733-0962918
2013,1,53.0,15.0,,2.0,,,,3.0,,,10.0,,3.0,8.0,3007.0,,,,,,,,,10000706809
2013,2,19.0,,,,,,4.0,1.0,,,,,,,13.0,,,,,5.0,,,,20000786555
2013,5,1.0,,,,,,,,,,,,,,31.0,,,,,,,,,50000017012
2013,3,42.0,12.0,2.0,,,,16.0,3.0,,,18.0,,1.0,,42.0,,,,,,,,,30000034603
2013,5,3.0,1.0,,,,,,5.0,,,,,,,,,,,,,,,,576-0762186
2013,3,3.0,,,,,,17.0,,,,,1.0,,,24.0,,,,,,,,,30000013242
2013,1,1.0,,,,,,,,2.0,,,,,,10.0,,,,,,,,,10000008709
2013,7,8.0,1.0,,,,,25.0,25.0,,,12.0,7.0,,1.0,,,,,,,,,,784-1553724
2013,1,3.0,,,,,,11.0,,1.0,,,1.0,2.0,,60.0,,,,,,,,,10000011443
2013,2,3.0,,,,,,,8.0,,,26.0,,,,28.0,,,,,,,,,20003412417
2013,7,41.0,48.0,,91.0,11.0,,,134.0,3.0,,5.0,,1.0,11.0,5970.0,,,12.0,39.0,39.0,,,,768-0309242
2013,7,26.0,135.0,8.0,52.0,6.0,2.0,,24.0,,,,,3.0,4.0,270.0,,,,,,,,,793-1190071
2013,1,10.0,,,,,,4.0,,,,,,,,1.0,,,,,,,,,10000003434
2013,1,98.0,,,,,,4.0,1.0,2.0,,2.0,,,,137.0,,,,,,,,,10000700257
2013,9,53.0,190.0,18.0,,,,148.0,1.0,6.0,,15.0,,16.0,1.0,561.0,,,,,2.0,,,,90000517900
2013,7,1.0,27.0,,8.0,,,,,,,266.0,,3.0,,1174.0,,,,,,,,,775-2695327
2013,2,21.0,,,,,,3.0,3.0,,,6.0,,1.0,,69.0,,,,,,,,,20000601416
2013,5,1.0,,,,,,,,,,,,,,3.0,,,,,,,,,50000062141
2013,1,,2.0,1.0,,,,,,,,,,,4.0,64.0,,,,,,,,,10000712504
2013,1,,45.0,3.0,,,,12.0,,,,,,4.0,,,,,,,,,,,10000013126
2013,9,,50.0,9.0,,,,86.0,,1.0,,,,1.0,,79.0,,,,,,,,,90000595869
2013,3,,1.0,,,,,2.0,,,,,,,,1.0,,,,,,,,,30000033470
2013,1,,18.0,2.0,,,,2.0,8.0,3.0,,,,,,8.0,,,,,,,,,10000024320
2013,7,,1.0,,,,,,,,,41.0,,,,56.0,,,,,,,,,777-0455415
2013,3,,3.0,,,,,4.0,,1.0,,,,1.0,,22.0,,,,,,,,,30000007598
2013,9,,196.0,74.0,,,,47.0,2.0,2.0,3.0,1.0,3.0,29.0,,79.0,,,,,,,,,90000060143
2013,7,,27.0,,4.0,,,3.0,,,,,,,,,,,,,,,,,768-0314095
2013,7,,9.0,,4.0,,,,,,,,,,,8.0,,,,,,,,,722-3537421
2013,2,,1.0,,,,,,,,,,,,,3.0,,,,,,,,,20000175609
2013,3,,3.0,2.0,,,,45.0,,4.0,,4.0,12.0,,2.0,74.0,,,,,,,,,30000016450
2013,7,,7.0,,42.0,1.0,,2.0,6.0,,,,,,,2505.0,,,,,,,,,734-1194858
2013,1,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,10000703019
2013,5,,1.0,,,,,3.0,1.0,1.0,1.0,1.0,7.0,,,25.0,,,,,,,,,50000024849
2013,3,,1.0,,,,,,,1.0,,,1.0,,,3.0,,,,,,,,,30000001701
2013,9,,1507.0,171.0,51.0,1.0,,44.0,16.0,,,204.0,42.0,37.0,157.0,529.0,,,,,,,,,90002735146
2013,5,,3.0,,,,,,,,,,,,,,,,,,,,,,50000006160
2013,1,,4.0,1.0,,,,1.0,,14.0,1.0,5.0,,,,144.0,,,,,1.0,,,,10000014206
2013,3,,6.0,2.0,,,,71.0,1.0,,,,,1.0,,9.0,,,,,,,,,30000057919
2013,7,,1.0,1.0,,,,,,,,,,1.0,,3.0,,,,,,,,,720-2718340
2013,7,,1.0,,10.0,,,12.0,,,,,,,,,,,,,,,,,713-3442065
2013,3,,1.0,,,,,,,,,1.0,,,,21.0,,,,,1.0,,,,30000009437
2013,7,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,736-3575871
2013,1,,6.0,,,,,9.0,2.0,,,,26.0,,,28.0,,,,,,,,,10000017043
2013,3,,1.0,,,,,26.0,1.0,,,,2.0,,,78.0,,,,,,,,,30000026523
2013,3,,2.0,,,,,5.0,,,,,,,,8.0,,,,,,,,,30000033188
2013,1,,1.0,,,,,2.0,,1.0,,,,,,7.0,,,,,,,,,10000704395
2013,7,,65.0,1.0,107.0,1.0,,,2.0,,,10.0,737.0,2.0,7.0,3146.0,,,,,,,,,77056000000
2013,5,,1.0,,,,,,2.0,1.0,,,,1.0,,2.0,,,,,,,,,50000068315
2013,3,,1.0,,,,,7.0,,,,,,,,35.0,,,,,,,,,30000023622
2013,7,,5.0,,8.0,,,,,,,,,,,,,,,,,,,,720-3828708
2013,2,,2.0,,,,,5.0,3.0,1.0,,54.0,4.0,1.0,1.0,139.0,,,,,1.0,,,,20000876634
2013,7,,4.0,,,,,,,,,,,,,17.0,,,,,,,,,743-0951349
2013,3,,1.0,,,,,,,,,,,,,21.0,,,,,,,,,30000026725
2013,2,,4.0,1.0,,,,18.0,1.0,3.0,,,,,2.0,95.0,,,,1.0,18.0,,,,20000539032
2013,7,,8.0,,,,,,,2.0,,,,,,82.0,,,,,,,,,71048900004
2013,2,,8.0,3.0,,,,13.0,4.0,6.0,1.0,1.0,,4.0,,239.0,,,,,8.0,,,,20000667757
2013,1,,3.0,,,,,10.0,,1.0,,,,,4.0,,,,,,,,,,10000717986
2013,3,,1.0,,,,,,,,,,,,,,,,,,,,,,30000028778
2013,1,,1.0,1.0,,,,7.0,,,,,,2.0,,3.0,,,,,,,,,10000021017
2013,7,,6.0,,,,,,,,,,,,,24.0,,,,,3.0,,,,727-3863726
2013,3,,3.0,,,,,11.0,,1.0,,,1.0,1.0,1.0,55.0,,,,,1.0,,,,30000020134
2013,3,,1.0,1.0,,,,3.0,,3.0,,1.0,3.0,1.0,2.0,67.0,,,,,,,,,30000028670
2013,2,,2.0,,,,,26.0,1.0,,1.0,1.0,30.0,1.0,,26.0,,,,,,,,,20000542528
2013,7,,2.0,,,,,,,,,,,,,60.0,,,,,,,,,72148900000
2013,3,,2.0,1.0,,,,2.0,1.0,1.0,,,,,1.0,34.0,,,,,,,,,30000013408
2013,5,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,50000068615
2013,2,,15.0,3.0,,,,3.0,,3.0,,,,1.0,,106.0,,,,,,,,,20000913267
2013,3,,1.0,,,,,1.0,2.0,2.0,,,,,,7.0,,,,,,,,,30000010980
2013,3,,9.0,2.0,,,,9.0,11.0,,,2.0,,,1.0,76.0,,,,,,,,,30000057633
2013,7,,15.0,2.0,7.0,1.0,,,,,,,,,,6.0,,,,,,,,,76451209990
2013,5,,72.0,,,,,15.0,,1.0,,,1.0,3.0,,14.0,,,,,,,,,50000067955
2013,3,,1.0,,,,,1.0,,,,,,,,2.0,,,,,,,,,30000028729
2013,3,,1.0,,,,,2.0,,,,2.0,,,1.0,10.0,,,,,,,,,30000015206
2013,3,,1.0,,,,,4.0,,1.0,,,,,,66.0,,,,,,,,,30000008941
2013,1,,1.0,1.0,,,,1.0,1.0,,,,,,,9.0,,,,,,,,,10000016248
2013,1,,1.0,,,,,,24.0,,,,,,1.0,121.0,,,,,,,,,10000706707
2013,5,,115.0,3.0,,,,,,8.0,,,,,,20.0,,,,,,,,,50000005582
2013,3,,33.0,1.0,19.0,2.0,,,,,,,,2.0,,549.0,,,,,,,,,327-1190043
2013,3,,1.0,,,,,11.0,24.0,,,5.0,,,,74.0,,,,,1.0,,,,30000023041
2013,3,,3.0,,,,,,13.0,,,,,,,239.0,,,,,,,,,30000057056
2013,7,,5.0,,,,,,,,,,,,1.0,44.0,,,,,,,,,768-0539887
2013,3,,13.0,3.0,2.0,,,400.0,26.0,2.0,,50.0,13.0,,1.0,56.0,,,,,,,,,30000022441
2013,3,,2.0,,,,,113.0,,,,1.0,22.0,,,73.0,,,,,,,,,30000028513
2013,3,,1.0,,,,,4.0,,,,,3.0,,,15.0,,,,,,,,,30000058040
2013,1,,5.0,,,,,,8.0,,,1.0,,,,1.0,,,,,1.0,,,,10000705740
2013,5,,9.0,,,,,,5.0,,,,,,,,,,,,,,,,50000068565
