agency,q006,q007,q008,q009,q010,q011,q015_count,q015_value,q016,q023,q031,q047,q048,q053,q055,q056,q061,q062,q063,q065,q070,q071,q072,q073,q074,q075,q076,q081_numer,q081_denom,q081,q082,q083,totals,year
1,10353.73343279484,2010.535093221583,741.7887968475796,152.4382313834115,158.43040181024242,460157.2565465799,3250.6057993332765,6534.235846405451,,19646.11477138931,163104.0,16.4102564102564,,,223.68371283634622,335.19183527890004,5500.449624160608,,,3464.0,153.1294750508631,,,,2760.921307100544,291.7156362908151,-72.4967528134585,4228.0,6632.0,2018.3007091883414,1528.7235271153315,5008.850453876517,698198.0187042607,2008
2,3157.6138771788305,1112.2018133002146,723.743035174842,165.96831560650315,702.4093991894595,159988.03583109652,1987.2875094988556,4253.825994745048,28.571428571428598,10907.399390504792,8948.0,,,,111.88575640806127,86.20689655172409,6471.7045181201665,,1.33333333333333,4408.0,-43.303560463043404,33.92767133263381,20.312451350859803,12.944983818770199,2287.0199414313447,45.667111290806304,-46.51675671339029,2728.0,4556.0,966.9994935269932,913.0096819442686,4302.243173761963,218830.491290561,2008
3,28985.37895902908,2421.242763912859,2430.1032962779295,421.17313790330786,172.9843854555656,566403.2406757941,10662.647019093263,23460.061426425324,,46000.69813368986,11920.0,34.1221794166208,,,566.2360466966949,75.0,16284.116869779173,,2.6974951830443197,3220.0,108.51270792146599,81.1067240349448,44.064564904614706,14.055793991416301,3138.559707257674,190.5665653777445,-128.6054904572665,30432.0,43876.0,7671.241905041489,7199.018109881474,22652.703669771014,828338.9266463814,2008
4,2461.8141793860577,1087.1714471450732,114.5617686430679,111.2092600914109,144.47745268133144,252248.75736160093,1348.180884525799,2860.084888120967,,6376.220938693324,22104.0,10.0358422939068,,,45.17749724646281,86.8852459016393,883.0919786631001,1.11111111111111,,1180.0,167.6382397954786,49.5908702258963,,7.3655286515171285,2769.262134022421,296.2060445507358,-145.17665868625036,1796.0,2352.0,358.301251642096,209.48440104786852,1418.0719310230759,300341.523598377,2008
5,20599.026270117676,2379.183013972794,2689.3608378803087,824.9008859298443,309.09397318666856,641357.0671814757,170.41460707440572,310.74914732060125,,17828.989725817682,,871.7663884042315,288.0544135355539,277.6588408772622,163.26448891753952,780.4442247901534,1144.950931409793,,,208.0,,,,,213.7683395036337,14.129790195853005,-42.968371510505705,14388.0,25552.0,3022.426152892311,697.6161222181779,2846.484153559746,736894.3811175693,2008
7,10512.24230315614,2274.4183987188903,8464.914112631757,974.4971292021481,721.0285389274908,663010.5556595752,464.0413546958178,528.1105240055616,150.7999944953475,7645.994621822133,10668.0,1034.2855039768733,90.86501555499277,,308.56380380664274,1141.4539553331822,2116.847661986137,,,1536.0,112.17006019988531,84.6127412106794,,17.662344758313058,15753.033099089818,638.0810685344858,56.045201397500904,115400.0,165820.0,1037.1966601387783,322.4660824335233,967.5259597709047,1011851.4117954222,2008
total,76069.80902166262,11284.752530271415,15164.471847455485,2650.186960116626,2208.4241512507583,2743164.913256122,17883.17717422142,37947.067827022955,179.37142306677612,108405.4175819171,216744.0,1966.6201705018889,378.9194290905467,277.6588408772622,1418.8113059117475,2505.182157855599,32401.161584118974,1.11111111111111,4.03082851637765,14016.0,498.1469225046496,249.23800680415434,64.3770162554745,52.028651220016684,26922.564528405434,1476.3662162404405,-379.71882878337044,168972.0,248788.0,15074.46617243001,10870.317924640643,37195.879341763226,3794454.7531525716,2008
