agency,q035,q001,q002,q003,q004,q005,q013,q036,q037,q038,q025,q068,q014,q024,q027,q067,q039,q040,q066,q044,q045,q051,q064,totals,year
1,1053.0,3648.0,676.0,422.0,14.0,2.0,6541.0,881.0,750.0,103.0,4380.0,3625.0,305.0,282.0,60753.0,58.0,28.0,210199.0,9.0,375.0,687.0,14.0,,294805.0,2012
2,644.0,1359.0,143.0,280.0,2.0,3.0,2345.0,488.0,380.0,39.0,1936.0,1128.0,124.0,147.0,24939.0,7.0,29.0,105091.0,22.0,173.0,,,,139279.0,2012
3,1592.0,4500.0,659.0,498.0,10.0,6.0,11884.0,2150.0,1630.0,170.0,3891.0,6898.0,426.0,693.0,97413.0,4.0,71.0,274249.0,119.0,1411.0,17.0,1.0,1.0,408293.0,2012
5,934.0,1323.0,109.0,33.0,,,1074.0,1293.0,333.0,86.0,1352.0,448.0,60.0,177.0,9646.0,18.0,44.0,204499.0,50.0,306.0,77.0,,1.0,221863.0,2012
7,2092.0,6038.0,445.0,7732.0,129.0,26.0,2359.0,7499.0,278.0,62.0,18274.0,2339.0,611.0,1533.0,436016.0,6.0,56.0,1304806.0,452.0,13904.0,10.0,,4.0,1804671.0,2012
9,431.0,74608.0,11078.0,6834.0,249.0,40.0,19564.0,9097.0,3644.0,349.0,8824.0,3444.0,4259.0,5243.0,533826.0,16.0,15.0,2614520.0,6.0,436.0,33.0,,10.0,3296526.0,2012
total,6746.0,91476.0,13110.0,15799.0,404.0,77.0,43767.0,21408.0,7015.0,809.0,38657.0,17882.0,5785.0,8075.0,1162593.0,109.0,243.0,4713364.0,658.0,16605.0,824.0,15.0,16.0,6165437.0,2012
