year,msa,count_loans,sum_amt,avg_income,std_income,min_income,max_income,5_pct,95_pct
2014,26380,1442.0,145621.0,100.9854368932038835,212.825120831696,3.0,7020.0,-324.6648047701881165,526.6356785565958835
2014,28940,6914.0,715243.0,103.4485102690193810,193.953948078067,1.0,9600.0,-284.4593858871146190,491.3564064251533810
2014,17900,8358.0,738529.0,88.3619286910744197,110.232194895128,1.0,4356.0,-132.1024610991815803,308.8263184813304197
2014,17820,8901.0,818319.0,91.9356252106504887,84.7573801852694340,4.0,2500.0,-77.5791351598883793,261.4503855811893567
2014,45220,3967.0,367467.0,92.6309553819006806,142.503740711117,1.0,6888.0,-192.3765260403333194,377.6384368041346806
2014,14740,2320.0,262418.0,113.1112068965517241,121.323969286114,1.0,1995.0,-129.5367316756762759,355.7591454687797241
2014,27860,1750.0,153870.0,87.9257142857142857,138.666685240859,5.0,3976.0,-189.4076561960037143,365.2590847674322857
2014,44940,710.0,51367.0,72.3478873239436620,51.2005249420895807,2.0,436.0,-30.0531625602354994,174.7489372081228234
2014,16580,3172.0,297118.0,93.6689785624211854,127.826297834225,6.0,3772.0,-161.9836171060288146,349.3215742308711854
2014,22540,1050.0,84427.0,80.4066666666666667,75.1196779707571100,4.0,981.0,-69.8326892748475533,230.6460226081808867
2014,29020,746.0,46084.0,61.7747989276139410,79.8785333421044363,1.0,2000.0,-97.9822677565949316,221.5318656118228136
2014,17780,2698.0,374526.0,138.8161601186063751,163.275587942223,5.0,2667.0,-187.7350157658396249,465.3673360030523751
2014,39540,1718.0,145055.0,84.4324796274738068,61.9576182366918455,10.0,608.0,-39.4827568459098842,208.3477161008574978
2014,18140,23161.0,2394632.0,103.3906998834247226,165.221839089517,1.0,9999.0,-227.0529782956092774,433.8343780624587226
2014,48260,847.0,60006.0,70.8453364817001181,53.5448458677960112,7.0,529.0,-36.2443552538919043,177.9350282172921405
2014,42034,2254.0,732746.0,325.0869565217391304,355.198071782759,8.0,6683.0,-385.3091870437788696,1035.4831000872571304
2014,21500,1996.0,174981.0,87.6658316633266533,86.7984676698517829,4.0,1121.0,-85.9311036763769125,261.2627670030302191
2014,39820,886.0,82615.0,93.2449209932279910,91.8457184147616888,6.0,1400.0,-90.4465158362953866,276.9363578227513686
2014,41940,12987.0,2781537.0,214.1785631785631786,216.302963192903,1.0,9999.0,-218.4273632072428214,646.7844895643691786
2014,30300,659.0,51260.0,77.7845220030349014,58.3328073780310925,11.0,565.0,-38.8810927530272836,194.4501367590970864
2014,24540,3360.0,322976.0,96.1238095238095238,84.7326048125534837,6.0,1858.0,-73.3414001012974436,265.5890191489164912
2014,49700,840.0,65669.0,78.1773809523809524,90.5548291376045673,6.0,2232.0,-102.9322773228281822,259.2870392275900870
2014,41140,966.0,74795.0,77.4275362318840580,93.1889518876758070,4.0,1747.0,-108.9503675434675560,263.8054400072356720
2014,25620,1640.0,146916.0,89.5829268292682927,93.6099899302170544,4.0,1503.0,-97.6370530311658161,276.8029066897024015
2014,31900,945.0,65983.0,69.8232804232804233,70.1505756997551986,4.0,980.0,-70.4778709762299739,210.1244318227908205
2014,31020,713.0,63532.0,89.1051893408134642,183.798188326277,4.0,4378.0,-278.4911873117405358,456.7015659933674642
2014,15764,20670.0,3197474.0,154.6915336236090953,163.691601803989,1.0,4800.0,-172.6916699843689047,482.0747372315870953
2014,11180,1078.0,103465.0,95.9786641929499072,86.6243370804644773,17.0,1401.0,-77.2700099679790474,269.2273383538788618
2014,30860,1246.0,96109.0,77.1340288924558587,86.0643105820515081,12.0,1356.0,-94.9945922716471575,249.2626500565588749
2014,45820,2434.0,192401.0,79.0472473294987675,85.0357376735934117,6.0,1443.0,-91.0242280176880559,249.1187226766855909
2014,42680,1917.0,274424.0,143.1528429838288993,289.172027504616,7.0,7587.0,-435.1912120254031007,721.4968979930608993
2014,48060,1016.0,86820.0,85.4527559055118110,70.0868689154248450,10.0,748.0,-54.7209819253378790,225.6264937363615010
2014,14500,3283.0,501725.0,152.8251599147121535,181.449797854155,1.0,3588.0,-210.0744357935978465,515.7247556230221535
2014,20100,1132.0,89157.0,78.7606007067137809,60.4220795303825938,1.0,611.0,-42.0835583540514067,199.6047597674789685
2014,12540,3273.0,317828.0,97.1060189428658723,95.0369928802318796,3.0,1591.0,-92.9679668175978869,287.1800047033296315
2014,19804,9857.0,824360.0,83.6319366947347063,96.9972901503051555,2.0,4020.0,-110.3626436058756047,277.6265169953450173
2014,23420,3595.0,380030.0,105.7107093184979138,154.485246766391,2.0,4554.0,-203.2597842142840862,414.6812028512799138
2014,43620,4797.0,420954.0,87.7535959974984365,91.0062604396737574,1.0,1570.0,-94.2589248818490783,269.7661168768459513
2014,40220,2516.0,238512.0,94.7980922098569157,141.388596994864,1.0,4226.0,-187.9791017798710843,377.5752861995849157
2014,30620,1042.0,75909.0,72.8493282149712092,96.2868819490758286,1.0,1158.0,-119.7244356831804480,265.4230921131228664
2014,42700,852.0,65874.0,77.3169014084507042,74.7654101374401977,6.0,861.0,-72.2139188664296912,226.8477216833310996
2014,44140,4615.0,412381.0,89.3566630552546046,90.9644501701488233,1.0,1982.0,-92.5722372850430420,271.2855633955522512
2014,26820,1969.0,149941.0,76.1508379888268156,72.4702286824264841,2.0,821.0,-68.7896193760261526,221.0912953536797838
2014,20260,3067.0,268317.0,87.4851646560156505,156.629423417718,3.0,7010.0,-225.7736821794203495,400.7440114914516505
2014,17140,24388.0,2377465.0,97.4850336230933246,94.6850906608770142,1.0,4049.0,-91.8851476986607038,286.8552149448473530
