year,state,count_loans,sum_amt,avg_amount,std_amount,min_amount,max_amount,5_pct,95_pct
2014,12,217988.0,49438706.0,226.7955392039928803,359.586466619420,1.0,84500.0,-492.3773940348471197,945.9684724428328803
2014,38,12137.0,2416057.0,199.0654197907225838,354.055243145944,1.0,34000.0,-509.0450665011654162,907.1759060826105838
2014,55,67011.0,10912702.0,162.8494127829759293,122.236981153919,1.0,9490.0,-81.6245495248620707,407.3233750908139293
2014,25,72538.0,24593578.0,339.0440596652788883,303.779370815760,1.0,12900.0,-268.5146819662411117,946.6028012967988883
2014,50,6601.0,1325937.0,200.8691107407968490,131.933284857480,1.0,2003.0,-62.9974589741631510,464.7356804557568490
2014,17,139639.0,27193006.0,194.7379027349093018,192.625102172170,1.0,5750.0,-190.5123016094306982,579.9881070792493018
2014,02,10311.0,2665691.0,258.5288526816021724,117.0154827256201809,1.0,1456.0,24.4978872303618106,492.5598181328425342
2014,46,13038.0,2133986.0,163.6743365546863016,109.784715181253,1.0,4470.0,-55.8950938078196984,383.2437669171923016
2014,18,74893.0,10604006.0,141.5887466118328816,108.356935957493,1.0,7650.0,-75.1251253031531184,358.3026185268188816
2014,48,305323.0,63181644.0,206.9337848769991124,189.968511290326,1.0,12060.0,-173.0032377036528876,586.8708074576511124
2014,51,98994.0,28384794.0,286.7324686344626947,202.462114102857,1.0,3900.0,-118.1917595712513053,691.6566968401766947
2014,20,39345.0,6207629.0,157.7742788156055407,131.190613355485,1.0,11840.0,-104.6069478953644593,420.1555055265755407
2014,22,43942.0,7835302.0,178.3100905739383733,370.678601769432,1.0,73370.0,-563.0471129649256267,919.6672941128023733
2014,30,15422.0,3220383.0,208.8174685514200493,191.559756237348,1.0,6750.0,-174.3020439232759507,591.9369810261160493
2014,35,14001.0,2626267.0,187.5771016355974573,131.401637579159,1.0,2270.0,-75.2261735227205427,450.3803767939154573
2014,41,35575.0,8691135.0,244.3045678144764582,154.342401348752,1.0,4875.0,-64.3802348830275418,552.9893705119804582
2014,31,29379.0,4314895.0,146.8700432281561660,96.4907485687912218,1.0,2009.0,-46.1114539094262776,339.8515403657386096
2014,32,22943.0,5131648.0,223.6694416597655058,184.168075182841,1.0,4350.0,-144.6667087059164942,592.0055920254475058
2014,54,16821.0,2433207.0,144.6529338327091136,132.527230017303,1.0,7016.0,-120.4015262018968864,409.7073938673151136
2014,56,9474.0,2021654.0,213.3896981211737387,220.482970154637,1.0,10000.0,-227.5762421881002613,654.3556384304477387
2014,29,76127.0,11870573.0,155.9311807899956651,335.186146468318,1.0,86000.0,-514.4411121466403349,826.3034737266316651
2014,39,126271.0,19003412.0,150.4970420761695084,118.181286696605,1.0,7343.0,-85.8655313170404916,386.8596154693795084
2014,47,78051.0,13865969.0,177.6526758145315243,141.678735723342,1.0,10000.0,-105.7047956321524757,461.0101472612155243
2014,27,81117.0,15649189.0,192.9212002416262929,249.536828163285,1.0,60000.0,-306.1524560849437071,691.9948565681962929
2014,13,109566.0,21723583.0,198.2693810123578482,160.865038494575,1.0,5000.0,-123.4606959767921518,519.9994580015078482
2014,28,27456.0,3970537.0,144.6145469114219114,99.4516841003951652,1.0,2574.0,-54.2888212893684190,343.5179151122122418
2014,26,102232.0,16106414.0,157.5476758744815713,134.342038217245,1.0,13316.0,-111.1364005600084287,426.2317523089715713
2014,44,9562.0,2234021.0,233.6353273373771178,199.459508503656,1.0,4225.0,-165.2836896699348822,632.5543443446891178
2014,09,31724.0,9938310.0,313.2741772790316480,402.367706513617,1.0,13750.0,-491.4612357482023520,1118.0095903062656480
2014,23,14085.0,2667354.0,189.3755058572949947,161.033759487869,1.0,6625.0,-132.6920131184430053,511.4430248330329947
2014,34,68218.0,21571209.0,316.2099299305168724,251.143429046782,1.0,10000.0,-186.0769281630471276,818.4967880240808724
2014,04,65964.0,14360663.0,217.7045509671942272,189.304769342925,1.0,10065.0,-160.9049877186557728,596.3140896530442272
2014,36,138274.0,46633193.0,337.2520719730390384,645.914438549716,1.0,73212.0,-954.5768051263929616,1629.0809490724710384
2014,05,41074.0,5755469.0,140.1243852558796319,137.293574374849,1.0,18685.0,-134.4627634938183681,414.7115340055776319
2014,49,29627.0,6869624.0,231.8703884969791069,203.910642193398,1.0,7033.0,-175.9508958898168931,639.6916728837751069
2014,11,8470.0,3944050.0,465.6493506493506494,604.990464670022,1.0,32100.0,-744.3315786906933506,1675.6302799893946494
2014,45,60485.0,11931437.0,197.2627428288005291,204.595759765146,1.0,27600.0,-211.9287767014914709,606.4542623590925291
2014,10,9994.0,2350342.0,235.1753051831098659,298.576565494272,1.0,17100.0,-361.9778258054341341,832.3284361716538659
2014,24,65144.0,19076615.0,292.8376366204101682,205.978606359041,1.0,5000.0,-119.1195760976718318,704.7948493384921682
2014,06,233530.0,109211656.0,467.6557872650194836,459.583756406502,1.0,25513.0,-451.5117255479845164,1386.8233000780234836
2014,01,49544.0,8077492.0,163.0367350234135314,573.781782776216,1.0,99999.0,-984.5268305290184686,1310.6003005758455314
2014,19,46190.0,6239766.0,135.0891101970123403,112.338479190467,1.0,6358.0,-89.5878481839216597,359.7660685779463403
2014,NA,182405.0,38098682.0,208.8686275047284888,322.222382565236,1.0,99999.0,-435.5761376257435112,853.3133926352004888
2014,40,49260.0,7257320.0,147.3268371904181892,113.876598363801,1.0,8151.0,-80.4263595371838108,375.0800339180201892
2014,08,73109.0,19659375.0,268.9049911775567988,262.116160458313,1.0,14250.0,-255.3273297390692012,793.1373120941827988
