year,state,count_loans,sum_amt,avg_income,std_income,min_income,max_income,5_pct,95_pct
2014,12,188598.0,24887517.0,131.9606623612127382,251.910755000324,1.0,9999.0,-371.8608476394352618,635.7821723618607382
2014,38,10515.0,1107377.0,105.3140275796481217,157.646682839578,6.0,7885.0,-209.9793380995078783,420.6073932588041217
2014,55,59890.0,5665700.0,94.6017699115044248,110.974059736733,1.0,6436.0,-127.3463495619615752,316.5498893849704248
2014,25,59651.0,9026528.0,151.3223248562471710,220.630530241021,1.0,9999.0,-289.9387356257948290,592.5833853382891710
2014,50,5864.0,712853.0,121.5642905866302865,174.342217769785,2.0,4795.0,-227.1201449529397135,470.2487261262002865
2014,17,111018.0,12192678.0,109.8261363022212614,165.475762472433,1.0,9999.0,-221.1253886426447386,440.7776612470872614
2014,02,8507.0,921393.0,108.3099800164570354,95.3688161613332524,1.0,3596.0,-82.4276523062094694,299.0476123391235402
2014,46,10417.0,921192.0,88.4316021887299606,99.4636700055621895,1.0,3105.0,-110.4957378223944184,287.3589421998543396
2014,18,60289.0,4960424.0,82.2774303770173664,95.8209648594030253,1.0,6008.0,-109.3644993417886842,273.9193600958234170
2014,48,249718.0,32540056.0,130.3072105334817674,194.211056095644,1.0,9999.0,-258.1149016578062326,518.7293227247697674
2014,51,81858.0,9775964.0,119.4258838476385937,136.978611016803,1.0,9999.0,-154.5313381859674063,393.3831058812445937
2014,20,32717.0,3032226.0,92.6804413607604609,106.510605905075,1.0,5500.0,-120.3407704493895391,305.7016531709104609
2014,22,35727.0,3713461.0,103.9399053936798500,186.190791404433,1.0,9999.0,-268.4416774151861500,476.3214882025458500
2014,30,13070.0,1399716.0,107.0938026013771997,221.036007119519,1.0,9999.0,-334.9782116376608003,549.1658168404151997
2014,35,12297.0,1285498.0,104.5375294787346507,140.029870329261,2.0,5466.0,-175.5222111797873493,384.5972701372566507
2014,41,30806.0,3465449.0,112.4926637667986756,156.850397704072,1.0,9999.0,-201.2081316413453244,426.1934591749426756
2014,31,24346.0,2166079.0,88.9706317259508749,110.588521058949,1.0,7800.0,-132.2064103919471251,310.1476738438488749
2014,32,18662.0,2136476.0,114.4826921015968278,210.346637327610,1.0,9999.0,-306.2105825536231722,535.1759667568168278
2014,54,14519.0,1260867.0,86.8425511398856671,114.2786422639425764,1.0,6943.0,-141.7147333879994857,315.3998356677708199
2014,56,7558.0,783045.0,103.6047896268854194,168.199096765671,2.0,7510.0,-232.7934039044565806,440.0029831582274194
2014,29,60105.0,5472374.0,91.0469012561350969,127.550914426695,1.0,9999.0,-164.0549275972549031,346.1487301095250969
2014,39,108631.0,9801920.0,90.2313335972236286,122.299249171987,1.0,9999.0,-154.3671647467503714,334.8298319411976286
2014,47,64863.0,6305407.0,97.2111527373078643,148.854031452701,1.0,9600.0,-200.4969101680941357,394.9192156427098643
2014,27,65117.0,6520060.0,100.1283842928881859,122.440909368750,1.0,7010.0,-144.7534344446118141,345.0102030303881859
2014,13,92551.0,9587547.0,103.5920411448822811,133.903849152701,1.0,9999.0,-164.2156571605197189,371.3997394502842811
2014,28,21591.0,1881657.0,87.1500625260525219,136.930464801334,1.0,9999.0,-186.7108670766154781,361.0109921287205219
2014,26,85957.0,7990367.0,92.9577230475702968,119.116485239313,1.0,7670.0,-145.2752474310557032,331.1906935261962968
2014,44,7951.0,1009298.0,126.9397560055338951,269.649804141129,1.0,9999.0,-412.3598522767241049,666.2393642877918951
2014,09,26024.0,4138069.0,159.0097217952659084,288.516961086092,1.0,9999.0,-418.0242003769180916,736.0436439674499084
2014,23,11583.0,1320043.0,113.9638262971596305,155.331544145857,1.0,4175.0,-196.6992619945543695,424.6269145888736305
2014,34,55998.0,9113936.0,162.7546698096360584,229.212878412371,1.0,9999.0,-295.6710870151059416,621.1804266343780584
2014,04,53267.0,5953271.0,111.7628362776202902,181.868347646363,1.0,9999.0,-251.9738590151057098,475.4995315703462902
2014,36,120332.0,19774270.0,164.3309344147857594,336.698888779293,1.0,9999.0,-509.0668431438002406,837.7287119733717594
2014,05,33078.0,2833173.0,85.6512787955740976,114.061546344919,1.0,4594.0,-142.4718138942639024,313.7743714854120976
2014,49,23749.0,2585655.0,108.8742683902480104,201.253102774451,1.0,9288.0,-293.6319371586539896,511.3804739391500104
2014,11,6524.0,1337080.0,204.9478847332924586,278.622211972717,1.0,6489.0,-352.2965392121415414,762.1923086787264586
2014,45,51737.0,5436261.0,105.0749173705471906,153.244026157267,1.0,9118.0,-201.4131349439868094,411.5629696850811906
2014,10,7856.0,934296.0,118.9276985743380855,152.534738530808,1.0,3467.0,-186.1417784872779145,423.9971756359540855
2014,24,51604.0,6553058.0,126.9874040772033176,161.279151016781,1.0,9999.0,-195.5708979563586824,449.5457061107653176
2014,06,202384.0,37483197.0,185.2083020396869318,296.548314829928,1.0,9999.0,-407.8883276201690682,778.3049316995429318
2014,01,40998.0,3669186.0,89.4967071564466559,122.442730039632,1.0,9999.0,-155.3887529228173441,334.3821672357106559
2014,19,39316.0,3330432.0,84.7093295350493438,104.645561211719,1.0,9835.0,-124.5817928883886562,294.0004519584873438
2014,NA,176620.0,15187314.0,85.9886422828671725,129.157730668944,1.0,9999.0,-172.3268190550208275,344.3041036207551725
2014,40,40594.0,3765598.0,92.7624279450165049,129.562339794264,1.0,9999.0,-166.3622516435114951,351.8871075335445049
2014,08,58874.0,7782314.0,132.1859224785134355,240.920484851902,1.0,9999.0,-349.6550472252905645,614.0268921823174355
