year,count_loans,sum_amt,avg_income,std_income,min_income,max_income,5_pct
2014,2893912.0,338340011.0,116.9144089384887999,191.089580211741,1.0,9999.0,-265.2647514849932001
2013,3495025.0,386677839.0,110.6366446591941402,177.983247109191,1.0,9999.0,-245.3298495591878598
2012,3278455.0,344566631.0,105.1003082244532867,171.165286066004,1.0,9999.0,-237.2302639075547133
2011,3282424.0,332073273.0,101.1670865799177681,171.061802213379,1.0,9999.0,-240.9565178468402319
2010,3711120.0,359551583.0,96.8849250361076979,155.435519518490,1.0,9999.0,-213.9861140008723021
2009,4036198.0,391579870.0,97.0170120494584260,171.069397955415,1.0,9999.0,-245.1217838613715740
2008,18193520.0,1971730792.0,108.3754431248048756,192.543799492493,1.0,9999.0,-276.7121558601811244
2007,7003417.0,802322897.0,114.5616342708138042,199.487569762226,1.0,9999.0,-284.4135052536381958
2006,7825559.0,871436108.0,111.3576816684916694,170.882129337495,1.0,9999.0,-230.4065770064983306
2005,7786851.0,819604133.0,105.2548884009723571,161.293722006798,1.0,9999.0,-217.3325556126236429
2004,6805634.0,651303717.0,95.7006675645501947,147.090589915484,1.0,9999.0,-198.4805122664178053
