agency,q035,q001,q002,q003,q004,q005,q013,q036,q037,q038,q025,q068,q014,q024,q027,q067,q039,q040,q066,q044,q045,q051,q052,q064,totals,year
1,1577.0,2817.0,60.0,16.0,3.0,1.0,2125.0,8383.0,4838.0,228.0,11214.0,7794.0,1720.0,1308.0,431853.0,1965.0,1009.0,2.0,279.0,8947.0,2959.0,29.0,4.0,38.0,489169.0,2004
2,1701.0,1238.0,35.0,,,1.0,1020.0,2781.0,1343.0,96.0,10152.0,4278.0,762.0,711.0,130546.0,502.0,558.0,,322.0,15906.0,17903.0,995.0,4.0,18.0,190872.0,2004
3,653.0,986.0,30.0,,,,1893.0,2503.0,1976.0,139.0,11491.0,15963.0,717.0,991.0,92598.0,1969.0,1350.0,1.0,732.0,11725.0,3138.0,911.0,17.0,42.0,149825.0,2004
4,141.0,4034.0,68.0,4.0,,1.0,849.0,2878.0,1891.0,16.0,9225.0,10206.0,1226.0,738.0,284214.0,3501.0,1196.0,2.0,171.0,2483.0,2716.0,67.0,13.0,59.0,325699.0,2004
5,179.0,76.0,1.0,,,,27.0,342.0,564.0,96.0,771.0,260.0,8.0,160.0,7271.0,182.0,375.0,2.0,61.0,1151.0,263.0,1.0,,13.0,11803.0,2004
7,2697.0,2813.0,232.0,9.0,1.0,2.0,2556.0,16867.0,7282.0,1250.0,16953.0,3088.0,1632.0,4158.0,661928.0,1916.0,1959.0,5.0,6018.0,40494.0,28498.0,292.0,2.0,65.0,800717.0,2004
total,6948.0,11964.0,426.0,29.0,4.0,5.0,8470.0,33754.0,17894.0,1825.0,59806.0,41589.0,6065.0,8066.0,1608410.0,10035.0,6447.0,12.0,7583.0,80706.0,55477.0,2295.0,40.0,235.0,1968085.0,2004
