agency,q035,q001,q002,q003,q004,q005,q013,q036,q037,q038,q025,q068,q014,q024,q027,q067,q039,q040,q066,q044,q045,q051,q052,q064,totals,year
1,1350.0,4268.0,90.0,46.0,,7.0,2214.0,11500.0,7844.0,370.0,13697.0,6611.0,2053.0,973.0,299234.0,1335.0,419.0,,277.0,16477.0,5706.0,,,4.0,374475.0,2005
2,848.0,1848.0,43.0,1.0,,,965.0,10016.0,3028.0,70.0,8658.0,4039.0,994.0,550.0,140452.0,398.0,457.0,2.0,2522.0,40648.0,34295.0,969.0,,19.0,250822.0,2005
3,379.0,1221.0,38.0,,,2.0,1912.0,2837.0,2231.0,174.0,11787.0,15169.0,696.0,925.0,91232.0,1619.0,1408.0,,665.0,18862.0,3853.0,255.0,3.0,15.0,155283.0,2005
4,153.0,5002.0,84.0,5.0,,1.0,508.0,6358.0,4696.0,30.0,13131.0,7266.0,1466.0,536.0,280994.0,491.0,226.0,2.0,112.0,17338.0,10038.0,16.0,4.0,12.0,348469.0,2005
5,91.0,124.0,4.0,,,,59.0,887.0,1140.0,95.0,825.0,674.0,16.0,191.0,8595.0,160.0,258.0,,84.0,1355.0,429.0,1.0,,4.0,14992.0,2005
7,1783.0,3435.0,144.0,21.0,1.0,11.0,861.0,22093.0,10960.0,60.0,13488.0,3829.0,1886.0,1260.0,888774.0,2723.0,1403.0,25.0,2866.0,141132.0,35197.0,859.0,3.0,19.0,1132833.0,2005
total,4604.0,15898.0,403.0,73.0,1.0,21.0,6519.0,53691.0,29899.0,799.0,61586.0,37588.0,7111.0,4435.0,1709281.0,6726.0,4171.0,29.0,6526.0,235812.0,89518.0,2100.0,10.0,73.0,2276874.0,2005
