agency,q035,q001,q002,q003,q004,q005,q013,q036,q037,q038,q025,q068,q014,q024,q027,q067,q039,q040,q066,q044,q045,q051,q052,q064,totals,year
1,610.0,3929.0,131.0,22.0,1.0,3.0,2962.0,19249.0,19824.0,300.0,20631.0,5602.0,2993.0,644.0,232379.0,970.0,396.0,1.0,214.0,40079.0,10172.0,,,1.0,361113.0,2006
2,1233.0,1894.0,66.0,9.0,,1.0,1059.0,12433.0,5847.0,73.0,11176.0,3562.0,1376.0,520.0,144000.0,252.0,344.0,5.0,3489.0,113666.0,43495.0,1446.0,3.0,6.0,345955.0,2006
3,456.0,922.0,47.0,1.0,,1.0,2198.0,4509.0,3655.0,185.0,6296.0,13225.0,753.0,767.0,94396.0,1274.0,455.0,,563.0,49480.0,3645.0,,,3.0,182831.0,2006
4,45.0,3178.0,85.0,8.0,,2.0,675.0,5410.0,7879.0,47.0,10116.0,8017.0,1165.0,360.0,174656.0,456.0,251.0,,67.0,33583.0,15788.0,5.0,,,261793.0,2006
5,98.0,165.0,13.0,,,1.0,58.0,1458.0,1507.0,144.0,910.0,228.0,20.0,200.0,8767.0,86.0,82.0,4.0,69.0,1015.0,884.0,,,,15709.0,2006
7,1391.0,3774.0,229.0,47.0,1.0,13.0,1029.0,20087.0,15586.0,15.0,12222.0,2302.0,1818.0,3933.0,853381.0,865.0,333.0,45.0,2017.0,285062.0,68791.0,741.0,2.0,9.0,1273693.0,2006
total,3833.0,13862.0,571.0,87.0,2.0,21.0,7981.0,63146.0,54298.0,764.0,61351.0,32936.0,8125.0,6424.0,1507579.0,3903.0,1861.0,55.0,6419.0,522885.0,142775.0,2192.0,5.0,19.0,2441094.0,2006
