agency,q035,q001,q002,q003,q004,q005,q013,q036,q037,q038,q025,q068,q014,q024,q027,q067,q039,q040,q066,q044,q045,q051,q064,totals,year
1,1053.0,447.0,16.0,422.0,14.0,2.0,432.0,881.0,750.0,103.0,4380.0,3625.0,305.0,282.0,60753.0,58.0,28.0,,9.0,375.0,687.0,14.0,,74636.0,2012
2,644.0,228.0,10.0,280.0,2.0,3.0,265.0,488.0,380.0,39.0,1936.0,1128.0,124.0,147.0,24939.0,7.0,29.0,,22.0,173.0,,,,30844.0,2012
3,1592.0,827.0,31.0,498.0,10.0,6.0,1105.0,2150.0,1630.0,170.0,3891.0,6898.0,426.0,693.0,97413.0,4.0,71.0,,119.0,1411.0,17.0,1.0,1.0,118964.0,2012
5,934.0,303.0,10.0,33.0,,,129.0,1293.0,333.0,86.0,1352.0,448.0,60.0,177.0,9646.0,18.0,44.0,,50.0,306.0,77.0,,1.0,15300.0,2012
7,2092.0,922.0,32.0,7732.0,129.0,26.0,1040.0,7499.0,278.0,62.0,18274.0,2339.0,611.0,1533.0,436016.0,6.0,56.0,14.0,452.0,13904.0,10.0,,4.0,493031.0,2012
9,431.0,10266.0,289.0,6834.0,249.0,40.0,2219.0,9097.0,3644.0,349.0,8824.0,3444.0,4259.0,5243.0,533826.0,16.0,15.0,2.0,6.0,436.0,33.0,,10.0,589532.0,2012
total,6746.0,12993.0,388.0,15799.0,404.0,77.0,5190.0,21408.0,7015.0,809.0,38657.0,17882.0,5785.0,8075.0,1162593.0,109.0,243.0,16.0,658.0,16605.0,824.0,15.0,16.0,1322307.0,2012
