agency,q035,q001,q002,q003,q004,q005,q013,q036,q037,q038,q025,q068,q014,q024,q027,q067,q039,q040,q066,q044,q045,q051,q064,totals,year
1,3130.0,37841.0,7117.0,7597.0,21.0,10.0,5817.0,14541.0,3265.0,151.0,14726.0,4446.0,3334.0,1458.0,432526.0,265.0,78.0,3.0,154.0,7337.0,640.0,,11.0,544468.0,2009
2,1079.0,5467.0,1003.0,365.0,,1.0,2490.0,1351.0,1048.0,60.0,3380.0,3585.0,450.0,273.0,69840.0,49.0,55.0,1.0,77.0,12556.0,902.0,,,104032.0,2009
3,4563.0,6264.0,881.0,1006.0,4.0,,9371.0,6122.0,2354.0,215.0,4530.0,10907.0,712.0,802.0,120484.0,248.0,265.0,,587.0,15473.0,586.0,3.0,76.0,185453.0,2009
4,2086.0,11949.0,1563.0,1910.0,3.0,,6417.0,2857.0,955.0,25.0,6996.0,3285.0,706.0,193.0,80531.0,403.0,112.0,,39.0,1159.0,648.0,11.0,,121848.0,2009
5,1071.0,1928.0,136.0,18.0,4.0,,541.0,1568.0,656.0,90.0,947.0,324.0,84.0,136.0,7676.0,70.0,41.0,1.0,60.0,911.0,362.0,,,16624.0,2009
7,6781.0,2398.0,240.0,6428.0,10.0,2.0,1139.0,14980.0,451.0,98.0,3390.0,579.0,447.0,1221.0,417291.0,115.0,130.0,10.0,711.0,7066.0,145.0,1.0,10.0,463643.0,2009
total,18710.0,65847.0,10940.0,17324.0,42.0,13.0,25775.0,41419.0,8729.0,639.0,33969.0,23126.0,5733.0,4083.0,1128348.0,1150.0,681.0,15.0,1628.0,44502.0,3283.0,15.0,97.0,1436068.0,2009
