agency,q035,q001,q002,q003,q004,q005,q013,q036,q037,q038,q025,q068,q014,q024,q027,q067,q039,q040,q066,q044,q045,q051,q052,q064,totals,year
1,1104.0,428.0,13.0,446.0,16.0,,503.0,841.0,843.0,61.0,3517.0,3515.0,203.0,248.0,39417.0,76.0,94.0,,21.0,482.0,211.0,75.0,,,52114.0,2011
2,659.0,128.0,4.0,208.0,4.0,2.0,208.0,352.0,359.0,25.0,1453.0,1136.0,84.0,105.0,17052.0,2.0,50.0,,11.0,156.0,2.0,,,2.0,22002.0,2011
3,1542.0,596.0,27.0,343.0,3.0,1.0,973.0,1379.0,1607.0,153.0,3615.0,5960.0,351.0,570.0,66001.0,24.0,130.0,,203.0,1313.0,15.0,2.0,3.0,,84811.0,2011
5,723.0,263.0,8.0,19.0,,,126.0,842.0,303.0,73.0,1049.0,455.0,51.0,119.0,7686.0,31.0,41.0,1.0,46.0,239.0,78.0,,,,12153.0,2011
7,1085.0,598.0,23.0,5248.0,87.0,10.0,733.0,5206.0,265.0,3.0,12952.0,1600.0,377.0,476.0,191912.0,58.0,51.0,76.0,337.0,9987.0,150.0,,,,231234.0,2011
9,594.0,8281.0,236.0,7229.0,130.0,36.0,1849.0,8316.0,2719.0,364.0,19659.0,3479.0,4098.0,3001.0,526100.0,47.0,26.0,,3.0,2144.0,179.0,2.0,,13.0,588505.0,2011
total,5707.0,10294.0,311.0,13493.0,240.0,49.0,4392.0,16936.0,6096.0,679.0,42245.0,16145.0,5164.0,4519.0,848168.0,238.0,392.0,77.0,621.0,14321.0,635.0,79.0,3.0,15.0,990819.0,2011
